OCCUPATION,COHORT,N,POSITIVE_SHARE
computer and information systems managers,born_1980_1999,19949,0.169131
"actors, producers, and directors",born_1950_1969,3249,0.196676
miscellaneous computer occupations,born_1950_1969,20893,0.079835
psychologists,born_1980_1999,3251,0.541987
photographers,born_1980_1999,4582,0.141423
psychologists,born_1950_1969,2055,0.476886
"software and web developers, programmers, and testers",born_1950_1969,10403,0.073633
logisticians and project management specialists,born_1980_1999,3745,0.124700
designers,born_1980_1999,5929,0.134255
public relations specialists,born_1980_1999,2180,0.230275
architectural and engineering managers,born_1980_1999,14950,0.152107
writers and editors,born_1950_1969,3971,0.191639
first-line supervisors of office and administrative support workers,born_1980_1999,2653,0.204297
"math and computer science teachers, postsecondary",born_1980_1999,2096,0.333969
miscellaneous engineers,born_1950_1969,4581,0.060467
artists and related workers,born_1980_1999,10396,0.112159
advertising and promotions managers,born_1950_1969,3653,0.137148
public relations and fundraising managers,born_1980_1999,7718,0.254600
"athletes, coaches, umpires, and related workers",born_1980_1999,2128,0.307801
human resources managers,born_1980_1999,10072,0.280778
writers and editors,born_1980_1999,4006,0.167998
elementary and middle school teachers,born_1980_1999,4161,0.440759
"engineering technologists and technicians, except drafters",born_1950_1969,3480,0.085632
compensation and benefits managers,born_1980_1999,2244,0.238414
"actors, producers, and directors",born_1980_1999,7141,0.218597
medical and health services managers,born_1980_1999,5418,0.430417
lawyers and judicial law clerks,born_1980_1999,11670,0.205998
accountants and auditors,born_1950_1969,4475,0.052291
therapists,born_1980_1999,5256,0.464992
mechanical engineers,born_1980_1999,3379,0.098846
advertising and promotions managers,born_1980_1999,9179,0.159386
"property, real estate, and community association managers",born_1980_1999,2735,0.178062
designers,born_1950_1969,2108,0.107211
education and childcare administrators,born_1980_1999,2399,0.412672
counselors,born_1980_1999,5104,0.522335
natural sciences managers,born_1980_1999,2601,0.250673
computer and information analysts,born_1980_1999,3498,0.131790
chief executives,born_1980_1999,133786,0.277241
marketing and sales managers,born_1950_1969,30018,0.116530
"transportation, storage, and distribution managers",born_1980_1999,7522,0.123504
first-line supervisors of office and administrative support workers,born_1950_1969,2017,0.120972
medical and health services managers,born_1950_1969,3674,0.334785
"arts, communications, history, and humanities teachers, postsecondary",born_1980_1999,2453,0.393396
"industrial engineers, including health and safety",born_1950_1969,3858,0.092017
miscellaneous healthcare support occupations,born_1980_1999,2136,0.281835
"miscellaneous sales representatives, services",born_1980_1999,10800,0.140833
registered nurses,born_1980_1999,13019,0.448345
"engineering technologists and technicians, except drafters",born_1980_1999,6144,0.145345
secretaries and administrative assistants,born_1950_1969,11344,0.135226
customer service representatives,born_1980_1999,7245,0.168530
"miscellaneous sales representatives, services",born_1950_1969,9301,0.117514
first-line supervisors of sales workers,born_1980_1999,3040,0.166776
database and network administrators and architects,born_1980_1999,5127,0.103179
miscellaneous managers,born_1950_1969,6255,0.162110
accountants and auditors,born_1980_1999,6990,0.080687
preschool and kindergarten teachers,born_1980_1999,2690,0.368773
miscellaneous engineers,born_1980_1999,9746,0.106505
industrial production managers,born_1980_1999,3119,0.122796
chief executives,born_1950_1969,210599,0.224227
real estate brokers and sales agents,born_1950_1969,22633,0.221933
photographers,born_1950_1969,2741,0.114192
"securities, commodities, and financial services sales agents",born_1950_1969,10109,0.102978
registered nurses,born_1950_1969,6561,0.346898
public relations and fundraising managers,born_1950_1969,2748,0.208879
physicians,born_1980_1999,2572,0.376361
computer support specialists,born_1980_1999,5100,0.113529
"meeting, convention, and event planners",born_1980_1999,2113,0.166588
clergy,born_1950_1969,2155,0.402784
financial analysts and advisors,born_1980_1999,11408,0.243338
administrative services and facilities managers,born_1980_1999,3090,0.193851
human resources workers,born_1950_1969,4964,0.241539
"musicians, singers, and related workers",born_1980_1999,2707,0.173255
real estate brokers and sales agents,born_1980_1999,12913,0.254162
credit counselors and loan officers,born_1950_1969,4687,0.215276
financial managers,born_1980_1999,17998,0.108512
miscellaneous managers,born_1980_1999,10912,0.197947
human resources workers,born_1980_1999,9572,0.295027
"software and web developers, programmers, and testers",born_1980_1999,33800,0.128491
secretaries and administrative assistants,born_1980_1999,12566,0.210091
financial managers,born_1950_1969,11890,0.087468
computer and information systems managers,born_1950_1969,13652,0.151113
market research analysts and marketing specialists,born_1980_1999,5275,0.163791
credit counselors and loan officers,born_1980_1999,4425,0.235480
administrative services and facilities managers,born_1950_1969,3179,0.144385
data scientists,born_1950_1969,2910,0.072165
paralegals and legal assistants,born_1980_1999,2325,0.141935
architectural and engineering managers,born_1950_1969,8616,0.110840
"arts, communications, history, and humanities teachers, postsecondary",born_1950_1969,2476,0.306947
"transportation, storage, and distribution managers",born_1950_1969,4781,0.083037
civil engineers,born_1980_1999,2370,0.145148
data scientists,born_1980_1999,8463,0.130214
lawyers and judicial law clerks,born_1950_1969,7076,0.174675
"securities, commodities, and financial services sales agents",born_1980_1999,18880,0.142108
general and operations managers,born_1950_1969,22233,0.131516
industrial production managers,born_1950_1969,2685,0.079330
marketing and sales managers,born_1980_1999,49002,0.161198
computer and information analysts,born_1950_1969,2711,0.066765
general and operations managers,born_1980_1999,32485,0.185840
financial analysts and advisors,born_1950_1969,6991,0.225862
counselors,born_1950_1969,3690,0.446341
miscellaneous computer occupations,born_1980_1999,35756,0.140536
customer service representatives,born_1950_1969,4593,0.124102
health practitioner support technologists and technicians,born_1980_1999,2568,0.315421
training and development managers,born_1980_1999,2875,0.362783
"industrial engineers, including health and safety",born_1980_1999,6043,0.122787
artists and related workers,born_1950_1969,4105,0.106456
human resources managers,born_1950_1969,5965,0.182397
database and network administrators and architects,born_1950_1969,4050,0.067901
miscellaneous business operations specialists,born_1980_1999,2559,0.163736
computer support specialists,born_1950_1969,3029,0.074942
