carnegie_grp,institutions,N,AVG_PROB,POSITIVE_SHARE,COLLEGE_WEIGHTED_SHARE
Mixed Spec-Focus,145,405600,0.38306913686638283,0.3713199973298817,0.3705356689655172
Bacc/Associate,142,246158,0.3728104603819649,0.36009400512272605,0.3590437042253521
Doctoral / Pro,176,2923809,0.288978327786372,0.2777891653798179,0.28352845454545456
Bacc Arts & Sciences,208,1507752,0.27354017832471933,0.2618581296386939,0.26736197115384613
Tribal,10,8570,0.26471749978158154,0.25226930991831975,0.25755669999999997
R2 (high research),131,5010960,0.25045220542132896,0.23987628806775546,0.24560325190839694
Master's University,627,7857381,0.25031079275893814,0.2394540787604674,0.25574445933014356
R1 (very high research),145,12508355,0.24849373136642136,0.23768305489386893,0.23458315862068962
Bacc Diverse Fields,320,1318242,0.23840214985641445,0.22789911276154148,0.235235321875
Special Focus,91,367642,0.23317086497079043,0.22224548940001415,0.22960397802197804
Associate / CC,165,1472256,0.2264524749926563,0.2162153590550828,0.2259481575757576
Other,109,378081,0.21034323421593606,0.1992702637530053,0.22665714678899085
