GROUP_NAME,N,AVG_PROB,POSITIVE_SHARE
International Institute For Software Testing,1472,0.10109436812616827,0.094250
Trailhead Military By Salesforce,884,0.295516761607356,0.283237
Daniel Webster College,3230,0.14915908652351895,0.139284
Southern Utah University,14413,0.2932781678967815,0.282071
Minneapolis College of Art and Design,4360,0.18382930920193968,0.173193
Schuylkill Technology Center,759,0.19240124378063736,0.183258
Medical Sales College,3382,0.311922788354237,0.302425
College of Southern Nevada,21291,0.22707392083363817,0.216346
Hypnosis Motivation Institute,1749,0.5709711085893783,0.551708
Charles H Mccann Technical School,1532,0.1965900229621651,0.187500
Pennsylvania College of Health Sciences,12811,0.19838280312228687,0.188478
"Marian University-Fond Du Lac, Wi",3589,0.32944788235013744,0.319588
Unification Theological Seminary,2359,0.17513009777518118,0.163940
American Institute of Certified Public Accountants,6424,0.09687192408299895,0.090300
University of Puerto Rico,15831,0.22165584324538035,0.210922
Treasure Valley Community College,1685,0.2658085031206764,0.257957
Cuyahoga Community College District,24453,0.21932250671521233,0.210309
School of Visual Arts,28765,0.1754076203740545,0.164502
The Modern College of Design,2733,0.18005259748155944,0.166083
Medical Allied Career Center,964,0.34622485614699794,0.334286
Southwest Baptist University,4581,0.31298736945194067,0.302340
Newport Business Institute,523,0.13111157713069357,0.123010
School of Infantry,1702,0.23252569672102444,0.217131
Western Dakota Technical College,792,0.2024390416059143,0.188766
Yeshiva Ohr Yisrael,622,0.2553219543050089,0.247875
Antioch College,2478,0.36758377843275863,0.352416
San Diego State University,125523,0.2532782266849042,0.242660
Vanguard University of Southern California,6664,0.34571655458401485,0.334655
Ohio Northern University,9502,0.23882413537485075,0.228877
Carrington College-Phoenix North,633,0.29008168518977,0.283267
University of Saint Francis-Fort Wayne,9896,0.2501070888886999,0.240088
The Cdl School,680,0.1660573545059268,0.149798
Makeup First School of Makeup Artistry,548,0.24468094445393773,0.231496
Colorado Media School,511,0.18164095625459958,0.168909
Sheffield School,1076,0.23346729606705965,0.221299
Keyskills Learning,956,0.18960820094681918,0.176367
Cuna Management School,1307,0.3153251436920214,0.298155
Marywood University,6758,0.30486566750060906,0.293065
Fergus Falls Community College,607,0.2248016730797392,0.213389
Prosci Change Management Learning Center,1385,0.2844383728056166,0.263855
Albizu University-Miami,1302,0.41840247937137276,0.403210
Jordan Applied Technology Center,1896,0.26739370095745385,0.255329
Napa Valley Wine Academy,704,0.20477499971666072,0.188424
Real Estate Education Center,638,0.24712119930550883,0.238667
South College,6507,0.3350158887613737,0.322219
Piedmont Community College,2006,0.24032651825240917,0.228654
St Bonaventure University,9843,0.2302745770045583,0.220559
Lewis University,22033,0.24119350015676266,0.230946
University of Missouri-Columbia,93239,0.25108612861676655,0.240516
Jersey College-Melbourne,575,0.2069496108389396,0.197512
The Philadelphia Institute,8429,0.1643290255994957,0.154919
College of Executive Coaching,889,0.6015087850767393,0.577899
Ohio State University-Main Campus,27446,0.18598973807322366,0.176924
Central State University,5628,0.2807894499059006,0.270531
Pioneer Career and Technology Center,883,0.2291470525436163,0.223384
Anoka Technical College,3433,0.19764689800303742,0.188746
Louisiana Delta Community College,1291,0.20443456972889792,0.194187
General Motors University,2005,0.1335092936397197,0.120000
Skillcrush,2113,0.2716540574134818,0.259571
Tesst College of Technology-Alexandria,2416,0.15257704627374344,0.145151
The Life Coach School,941,0.6859753594518829,0.662175
Sequoia Institute,709,0.193666139948742,0.188107
University of Oklahoma-Norman Campus,82663,0.24298821103335347,0.231781
Childcare Education Institute,1076,0.44988843281316804,0.436664
Lincoln College of Technology-Nashville,1507,0.10436033739595404,0.097748
Keuka College,3077,0.2877035550700034,0.275981
Pennsylvania State University-Penn State Lehigh Valley,817,0.25758325226118317,0.246854
