OCCUPATION,COMPANY_TYPE,N,POSITIVE_SHARE
financial managers,private,148384,0.095745
civil engineers,private,20970,0.140153
marketing and sales managers,private,431863,0.141355
pharmacists,nonprofit,7981,0.460093
public relations specialists,private,13340,0.196177
computer and information systems managers,public_subsidiary,18577,0.113474
"engineering technologists and technicians, except drafters",educational,3431,0.228796
data scientists,public,56794,0.080501
general and operations managers,public_subsidiary,19977,0.139961
"athletes, coaches, umpires, and related workers",private,15585,0.301829
chief executives,public,65045,0.141179
psychologists,nonprofit,5596,0.533774
financial managers,government,5681,0.139940
human resources workers,public,22386,0.248504
"industrial engineers, including health and safety",private,50337,0.113237
registered nurses,government,7321,0.465510
computer and information analysts,private,29275,0.102511
human resources workers,nonprofit,13878,0.331892
"claims adjusters, appraisers, examiners, and investigators",private,10119,0.135587
"substitute teachers, short-term",private,15849,0.345763
"arts, communications, history, and humanities teachers, postsecondary",educational,24334,0.360360
environmental scientists and geoscientists,private,4661,0.175713
electrical and electronics engineers,public_subsidiary,2821,0.064871
"engineering technologists and technicians, except drafters",public,30595,0.090407
first-line supervisors of office and administrative support workers,public_subsidiary,2526,0.145685
residential advisors,educational,3434,0.434770
detectives and criminal investigators,government,6800,0.206176
"sales representatives, wholesale and manufacturing",public,3311,0.200544
computer and information analysts,nonprofit,6927,0.155479
accountants and auditors,nonprofit,9075,0.098072
ship and boat captains and operators,private,2683,0.133805
"eligibility interviewers, government programs",government,2080,0.284615
natural sciences managers,educational,2707,0.403768
waiters and waitresses,public_subsidiary,2101,0.198477
"meter readers, utilities",public,2300,0.094348
training and development specialists,nonprofit,3606,0.454243
air traffic controllers and airfield operations specialists,private,5561,0.159684
miscellaneous engineers,government,6017,0.130297
social and community service managers,nonprofit,4152,0.526252
credit counselors and loan officers,private,47087,0.235904
database and network administrators and architects,public,18436,0.070840
marketing and sales managers,public_subsidiary,34058,0.129368
education and childcare administrators,private,18009,0.400522
procurement clerks,private,5504,0.086119
social workers,private,10564,0.548088
mechanical engineers,public_subsidiary,4377,0.082705
operations research analysts,private,2316,0.112694
market research analysts and marketing specialists,nonprofit,6400,0.263750
construction managers,public,3368,0.086105
"compensation, benefits, and job analysis specialists",nonprofit,2635,0.182163
paralegals and legal assistants,government,3414,0.189221
"shipping, receiving, and inventory clerks",private,4623,0.103180
miscellaneous social scientists and related workers,government,4360,0.337615
construction and building inspectors,private,4460,0.142825
credit analysts,private,3786,0.102483
financial analysts and advisors,nonprofit,8432,0.173269
architectural and engineering managers,nonprofit,7054,0.294585
natural sciences managers,nonprofit,7175,0.444878
buyers and purchasing agents,public,2685,0.096462
artists and related workers,nonprofit,4636,0.188093
police officers,private,5714,0.147882
"engineering technologists and technicians, except drafters",public_subsidiary,5803,0.089609
miscellaneous computer occupations,public_subsidiary,32141,0.090196
biological scientists,private,2224,0.226169
