OCCUPATION,FEMALE_SHARE,MALE_SHARE,GAP_PP,MIN_GROUP_N
natural sciences managers,0.340372,0.186043,15.432900000000002,15405.0
counselors,0.55867,0.405236,15.3434,21427.0
"physical sciences teachers, postsecondary",0.367878,0.214886,15.299199999999999,14059.0
training and development managers,0.408414,0.259124,14.928999999999998,14194.0
chief executives,0.339387,0.198897,14.049,811904.0
"actors, producers, and directors",0.312794,0.17335,13.944400000000002,36885.0
social science research assistants,0.326859,0.196064,13.079500000000003,9319.0
"health teachers, postsecondary",0.425009,0.294659,13.035000000000002,7395.0
miscellaneous postsecondary teachers,0.398252,0.268299,12.995299999999999,10182.0
"life sciences teachers, postsecondary",0.372954,0.246242,12.671200000000002,5056.0
"math and computer science teachers, postsecondary",0.358443,0.238046,12.0397,14775.0
miscellaneous community and social service specialists,0.482479,0.366076,11.640299999999998,5589.0
training and development specialists,0.37367,0.257599,11.607099999999997,7271.0
"arts, communications, history, and humanities teachers, postsecondary",0.3998,0.292306,10.749399999999998,16428.0
"athletes, coaches, umpires, and related workers",0.378419,0.271919,10.649999999999999,8665.0
computer and information systems managers,0.233451,0.127507,10.594399999999998,65834.0
teaching assistants,0.362014,0.26193,10.0084,9430.0
education and childcare administrators,0.454049,0.355545,9.850399999999999,14257.0
civil engineers,0.207935,0.118553,8.9382,7940.0
"news analysts, reporters and journalists",0.256474,0.167785,8.868899999999998,7748.0
miscellaneous social scientists and related workers,0.298757,0.211762,8.699499999999999,8368.0
physicians,0.417448,0.333698,8.375,16953.0
"engineering technologists and technicians, except drafters",0.191301,0.108717,8.2584,27935.0
drafters,0.181759,0.102801,7.8958,7697.0
public relations and fundraising managers,0.27544,0.196693,7.874700000000001,27154.0
miscellaneous computer occupations,0.170995,0.093937,7.7058,146402.0
mechanical engineers,0.15892,0.085345,7.3575,6110.0
waiters and waitresses,0.22599,0.152537,7.345299999999999,6700.0
miscellaneous business operations specialists,0.210374,0.136993,7.3381,15943.0
miscellaneous managers,0.229783,0.159249,7.053399999999998,60431.0
secondary school teachers,0.448323,0.379012,6.931100000000001,11683.0
preschool and kindergarten teachers,0.392844,0.324816,6.802800000000003,7749.0
database and network administrators and architects,0.145246,0.077378,6.786799999999999,16744.0
medical and health services managers,0.434106,0.366614,6.7492,24088.0
administrative services and facilities managers,0.213435,0.147659,6.5776,19561.0
architectural and engineering managers,0.176301,0.110745,6.555600000000002,72087.0
general and operations managers,0.207395,0.142299,6.509599999999999,182005.0
"musicians, singers, and related workers",0.213383,0.148381,6.500199999999998,10835.0
"industrial engineers, including health and safety",0.162823,0.098119,6.4704,24585.0
photographers,0.168521,0.104284,6.4237,24836.0
first-line supervisors of transportation and material moving workers,0.163227,0.09916,6.406700000000002,6396.0
writers and editors,0.211868,0.149478,6.239,25763.0
miscellaneous engineers,0.15031,0.089093,6.1217,24536.0
retail salespersons,0.202771,0.141601,6.117,7507.0
