GROUP_NAME,N,AVG_PROB,MEDIAN_PROB,POSITIVE_SHARE
mental health care,276035,0.5511498900633233,0.993399977684021,0.537718
philanthropy,29714,0.5065532089670085,0.6411499977111816,0.492293
professional training & coaching,124015,0.5134775005724981,0.6825000047683716,0.490586
civic & social organization,79816,0.49783621052640586,0.4236999899148941,0.485366
individual & family services,158188,0.4616475288583396,0.02019999921321869,0.449990
non-profit organization management,561235,0.45681035583943486,0.01730000041425228,0.444158
public policy,22712,0.4574171482600326,0.029600000008940697,0.442541
primary/secondary education,316689,0.44533548089787134,0.004999999888241291,0.434894
"health, wellness and fitness",452105,0.44764498513178186,0.01080000028014183,0.434229
alternative medicine,27586,0.43866134169151516,0.00800000037997961,0.424056
education management,551025,0.42274141195339676,0.002199999988079071,0.411671
political organization,17248,0.4121091712483153,0.0034000000450760126,0.397495
religious institutions,122193,0.400470343336838,0.002199999988079071,0.386503
medical practice,278341,0.38455815785394476,0.0006000000284984708,0.373736
fund-raising,19937,0.3852795145359857,0.0024999999441206455,0.368059
libraries,31728,0.3572078815494146,0.00039999998989515007,0.345531
e-learning,72542,0.35808906740495366,0.0008999999845400453,0.345248
higher education,1386734,0.3471298880868812,0.00039999998989515007,0.335793
hospital & health care,2071562,0.3450702236150654,0.00039999998989515007,0.334804
alternative dispute resolution,5048,0.35087828750642847,0.0019000000320374966,0.334588
legislative office,9465,0.3463533957056144,0.00039999998989515007,0.334496
international affairs,38440,0.3407668879346613,0.0008999999845400453,0.324298
veterinary,49592,0.3350368135733883,0.0003000000142492354,0.323601
think tanks,15293,0.3372225520422154,0.0013000000035390258,0.319950
program development,18574,0.31611344815344894,0.0007999999797903001,0.303004
museums and institutions,50366,0.31542237550545954,0.00039999998989515007,0.301374
performing arts,56181,0.30896089884407973,0.0006000000284984708,0.296613
government administration,699343,0.2934276038664354,0.0003000000142492354,0.282421
recreational facilities and services,32379,0.2840937020090281,0.00019999999494757503,0.272553
public safety,60340,0.27513245201281583,0.0003000000142492354,0.263573
law enforcement,83208,0.25909139802418074,0.00019999999494757503,0.247632
government relations,36801,0.25969009749316,0.0003000000142492354,0.246651
research,206756,0.24602568090459886,0.00019999999494757503,0.234779
environmental services,193607,0.24704689603079444,0.00019999999494757503,0.234346
sports,145684,0.24114522056008902,0.00019999999494757503,0.230952
writing and editing,95494,0.24352020185695902,0.00039999998989515007,0.229166
ranching,4351,0.24297618893246706,0.0003000000142492354,0.228683
judiciary,13436,0.2379238235595626,9.999999747378752e-05,0.226928
legal services,141587,0.2345345322668849,0.00019999999494757503,0.223968
staffing and recruiting,258846,0.22887046342409878,0.0003000000142492354,0.216244
human resources,148958,0.22611475142233925,0.00039999998989515007,0.211509
renewables & environment,89354,0.22174711891427032,0.00019999999494757503,0.209851
cosmetics,86210,0.2202336370764332,0.00019999999494757503,0.209813
fine art,52104,0.22180587053458004,0.0003000000142492354,0.209159
international trade and development,38954,0.22139214930818862,0.00019999999494757503,0.208117
public relations and communications,89152,0.21865663544275676,0.00019999999494757503,0.206647
consumer services,185194,0.2167442498766967,0.00019999999494757503,0.205401
farming,49991,0.21588931360410496,9.999999747378752e-05,0.205217
real estate,930587,0.21229010421777542,0.00019999999494757503,0.201334
management consulting,560392,0.20904611680127796,0.0003000000142492354,0.196229
online media,44455,0.20744309487398846,0.00019999999494757503,0.195793
translation and localization,17515,0.204497909910022,9.999999747378752e-05,0.195432
medical devices,284620,0.20285211494372207,9.999999747378752e-05,0.194860
architecture & planning,139911,0.20557483643030866,9.999999747378752e-05,0.194431
biotechnology,302330,0.20320933867839713,9.999999747378752e-05,0.194384
arts and crafts,41692,0.20678441863633543,0.00019999999494757503,0.194090
pharmaceuticals,315628,0.2024569308068301,9.999999747378752e-05,0.194013
venture capital & private equity,42654,0.20308980833529178,0.0003000000142492354,0.191377
music,118648,0.19764303111407347,0.00019999999494757503,0.187302
