GROUP_NAME,N,AVG_PROB,POSITIVE_SHARE
health,1526268,0.4538321645762561,0.442633
education,861008,0.3951602969646936,0.383822
public_service,327688,0.3908638599645862,0.379065
human_resources,760962,0.2924561143696842,0.276491
operations,4133399,0.2595666899837793,0.247941
advisory,383981,0.24345930597660181,0.232150
research,504585,0.21627528135227517,0.207499
partnerships,244293,0.19992948627448404,0.190050
marketing,582417,0.19745790708153568,0.187120
professional_service,2280423,0.19804621181451074,0.186813
unemployed,26566,0.19097383077918198,0.180117
manufacturing,163177,0.19133706793397928,0.179578
sales,1294905,0.183179996328145,0.173309
creative,1164817,0.17634809925251774,0.166032
hospitality,917071,0.17228817996332776,0.162558
legal,201049,0.16925835061998964,0.159782
product,311524,0.1697636054467239,0.159458
support,534623,0.16034501527763637,0.151550
fulfillment,1243996,0.1545474447741943,0.145499
sales_engineering,158577,0.1449584704091267,0.136111
analyst,638671,0.14059871330075885,0.132865
finance,849427,0.12523406152551247,0.117921
trade,281826,0.11604633191592677,0.107879
engineering,2352132,0.10852853556472666,0.101192
