liberal_arts,selectivity_label,institutions,N,AVG_PROB,POSITIVE_SHARE,COLLEGE_WEIGHTED_SHARE
Liberal arts,Elite (<10%),7,66950,0.3035102746315347,0.29058218911127714,0.29307242857142857
Liberal arts,Highly Selective (10-25%),23,281378,0.26778622794957957,0.25545760817121455,0.26872708695652175
Liberal arts,Less Selective (>75% or open),92,529740,0.262839256170929,0.25167399397817797,0.2610690543478261
Liberal arts,Moderately Selective (50-75%),57,378225,0.2758468772309803,0.2643223198069932,0.2652319298245614
Liberal arts,Selective (25-50%),29,251459,0.2910730262595444,0.2791206489606656,0.2842236896551724
Other four-year,Elite (<10%),21,2202509,0.2716473611386186,0.2598388671292603,0.257519
Other four-year,Highly Selective (10-25%),33,2456881,0.24911862253933703,0.23810885564624412,0.24106409090909092
Other four-year,Less Selective (>75% or open),1556,17688475,0.25775719615562925,0.2469617024699981,0.2683479961439589
Other four-year,Moderately Selective (50-75%),360,6746186,0.24038332785509278,0.22989442727831697,0.245148475
Other four-year,Selective (25-50%),91,3403003,0.24858198398178957,0.237830189174679,0.24966160439560436
