GROUP_NAME,N,AVG_PROB,MEDIAN_PROB,POSITIVE_SHARE
"Rexburg, ID",7087,0.36478497142865185,0.0006000000284984708,0.353041
"Flagstaff, AZ",8911,0.3104219384431485,0.00039999998989515007,0.300303
"Amherst Town-Northampton, MA",13784,0.30924843211176123,0.0003000000142492354,0.298172
"Eugene-Springfield, OR",25660,0.3007149953571112,0.0003000000142492354,0.289556
"Bloomington, IN",17848,0.29950174174494937,0.0003000000142492354,0.288940
"Hilo-Kailua, HI",9322,0.2973097288988966,0.00039999998989515007,0.287707
"Bellingham, WA",18027,0.2989454644426,0.00039999998989515007,0.287569
"Durango, CO",5031,0.29668201075683315,0.00039999998989515007,0.285430
"Olympia-Lacey-Tumwater, WA",18580,0.29777100574376364,0.0003000000142492354,0.285253
"Redding, CA",7389,0.29645075027198586,0.00039999998989515007,0.284206
"Missoula, MT",10703,0.2930002888789277,0.0003000000142492354,0.281230
"Medford, OR",11746,0.2921970792575101,0.00039999998989515007,0.280010
"St. George, UT",11831,0.2899914878083032,0.00039999998989515007,0.279773
"Durham-Chapel Hill, NC",71806,0.28979575867652635,0.0003000000142492354,0.278514
"Santa Fe, NM",11274,0.28954625626617214,0.00039999998989515007,0.277098
"Asheville, NC",36243,0.2884253173716295,0.0003000000142492354,0.276743
"Gainesville, FL",32038,0.28795353887999825,0.00019999999494757503,0.276703
"Kahului-Wailuku, HI",7107,0.2909403539670432,0.0005000000237487257,0.276347
"Ithaca, NY",13441,0.2879482919460856,0.00019999999494757503,0.276319
"Salem, OR",17622,0.2872512419974346,0.0003000000142492354,0.276189
"Santa Cruz-Watsonville, CA",21226,0.28729533990155387,0.00039999998989515007,0.276124
"Yakima, WA",6843,0.2884706700541837,0.00019999999494757503,0.276049
"Merced, CA",5757,0.2844002424199556,0.00019999999494757503,0.275491
"Burlington-South Burlington, VT",25534,0.283484897889814,0.0003000000142492354,0.273322
"Truckee-Grass Valley, CA",6798,0.2855139593266187,0.00039999998989515007,0.272580
"Corvallis, OR",9565,0.28405252402248954,0.00019999999494757503,0.272452
"Fort Collins-Loveland, CO",48642,0.2833910358776821,0.0003000000142492354,0.272357
"Mount Vernon-Anacortes, WA",5081,0.2845966337964582,0.0003000000142492354,0.271797
"Muncie, IN",6125,0.2803163095130027,0.00019999999494757503,0.271184
"La Crosse-Onalaska, WI-MN",10302,0.28171943232159835,0.00019999999494757503,0.271015
"Lebanon-Claremont, NH-VT",14338,0.2807460586629108,0.00019999999494757503,0.270470
"Logan, UT-ID",10867,0.2798032660586567,0.00019999999494757503,0.270268
"Helena, MT",5047,0.28189562060288154,0.0003000000142492354,0.270260
"Visalia, CA",8728,0.28049008847491663,0.00019999999494757503,0.269936
"Chico, CA",10124,0.2809579802698751,0.0003000000142492354,0.268965
"Harrisonburg, VA",7435,0.27835970321755527,0.00019999999494757503,0.268863
"Prescott Valley-Prescott, AZ",11878,0.2807436008990212,0.00039999998989515007,0.268564
"Rifle, CO",6331,0.28003525441112925,0.0003000000142492354,0.268204
"Rochester, MN",14675,0.2782204491070875,0.00019999999494757503,0.266985
"Duluth, MN-WI",14652,0.2772729586402255,0.00019999999494757503,0.266653
"Charlottesville, VA",26476,0.2764789953709951,0.00019999999494757503,0.266166
"Iowa City, IA",18786,0.2754916313589529,0.00019999999494757503,0.265889
"Bend, OR",22555,0.2766613826472482,0.00039999998989515007,0.264864
"Pocatello, ID",5476,0.27531729306790315,0.00019999999494757503,0.264609
"Wenatchee-East Wenatchee, WA",5079,0.27355583706576925,0.0003000000142492354,0.264225
"Salinas, CA",19147,0.27537605300348506,0.0003000000142492354,0.263853
"Grand Junction, CO",9771,0.2741626437880181,0.0003000000142492354,0.263330
"Columbia, MO",20273,0.27276675304409986,0.00019999999494757503,0.262961
"Eureka-Arcata, CA",7153,0.2871323915276248,0.0032999999821186066,0.262827
"Spokane-Spokane Valley, WA",41118,0.27359082082115116,0.0003000000142492354,0.262440
"Athens-Clarke County, GA",19192,0.271578943625949,0.00019999999494757503,0.262193
"San Luis Obispo-Paso Robles, CA",22039,0.27405163963563495,0.0003000000142492354,0.262081
"Pittsfield, MA",7414,0.27000128062091133,0.00019999999494757503,0.258430
"Lynchburg, VA",15887,0.2680563095938718,0.00019999999494757503,0.258387
"Provo-Orem-Lehi, UT",71927,0.2681511359010988,0.0003000000142492354,0.257094
"Kingston, NY",8594,0.2696439019116114,0.0003000000142492354,0.256923
"Fresno, CA",38268,0.2671166163200335,0.00019999999494757503,0.256690
"Urban Honolulu, HI",47337,0.2682273246946322,0.0003000000142492354,0.256438
"Lawrence, KS",11750,0.2646341184237749,0.00019999999494757503,0.253702
"Augusta-Waterville, ME",5853,0.2639418581199917,0.00019999999494757503,0.253545
"Greenville, NC",13564,0.2618301010694381,0.00019999999494757503,0.253318
"Manhattan, KS",8527,0.2637337861638053,9.999999747378752e-05,0.253313
"Santa Maria-Santa Barbara, CA",33426,0.2643735439896117,0.0003000000142492354,0.253306
"Boulder, CO",57509,0.26467444862986306,0.0003000000142492354,0.253195
"Bangor, ME",8610,0.26354479604686004,0.00019999999494757503,0.252729
"Lincoln, NE",29500,0.26328581966933107,0.00019999999494757503,0.252034
"Tallahassee, FL",32185,0.26166563861221237,0.00019999999494757503,0.251204
"Ann Arbor, MI",47659,0.2606537331866367,0.00019999999494757503,0.250215
"Santa Rosa-Petaluma, CA",30978,0.2615587249835915,0.0003000000142492354,0.250081
"Bozeman, MT",13710,0.26107451434619783,0.0003000000142492354,0.249745
"Kalispell, MT",6639,0.26054036685793497,0.0003000000142492354,0.249285
"Anchorage, AK",23349,0.2606637023741045,0.00019999999494757503,0.248833
"Tucson, AZ",71512,0.2580937514351851,0.00019999999494757503,0.247119
"Blacksburg-Christiansburg-Radford, VA",13531,0.25635167349083154,9.999999747378752e-05,0.246914
"Lewiston-Auburn, ME",5656,0.255097665403852,0.00019999999494757503,0.245934
"Madison, WI",91009,0.2563037055800974,0.00019999999494757503,0.245492
"Staunton-Stuarts Draft, VA",5041,0.2556945044265132,0.00019999999494757503,0.245189
"Lansing-East Lansing, MI",40668,0.25493841782335724,0.00019999999494757503,0.245131
"Portland-Vancouver-Hillsboro, OR-WA",303934,0.2555408931551256,0.0003000000142492354,0.244076
"Rapid City, SD",7631,0.25520771786514995,0.00019999999494757503,0.243874
"Sacramento-Roseville-Folsom, CA",195740,0.25468861283645317,0.00019999999494757503,0.243823
"Las Cruces, NM",7369,0.2548701580547463,0.00019999999494757503,0.243724
"South Bend-Mishawaka, IN-MI",21126,0.25350062894574155,0.00019999999494757503,0.243255
"Salisbury, MD",5775,0.2508302330668072,0.00019999999494757503,0.242078
"Albuquerque, NM",53819,0.25265814242858836,0.00019999999494757503,0.241773
"Cheyenne, WY",6345,0.25227286000011445,0.00019999999494757503,0.241608
"State College, PA",15026,0.25176698987361756,9.999999747378752e-05,0.241049
"Bremerton-Silverdale-Port Orchard, WA",14690,0.25220454664610414,0.0003000000142492354,0.240708
"Dover, DE",8139,0.25165345802698663,0.00019999999494757503,0.240693
"Portland-South Portland, ME",56571,0.25155420918866095,0.00019999999494757503,0.240282
"Greeley, CO",17969,0.24997756630999793,0.00019999999494757503,0.240136
"Idaho Falls, ID",9738,0.25161415008153765,0.00019999999494757503,0.239885
"Coeur d'Alene, ID",9411,0.2515390495224874,0.0003000000142492354,0.239719
"Eau Claire, WI",10525,0.24945218948481468,9.999999747378752e-05,0.238290
"Billings, MT",9294,0.2489622222623672,0.00019999999494757503,0.238003
"New Haven, CT",47076,0.2479610347405672,0.00019999999494757503,0.237786
"Heber, UT",8397,0.24876217645002519,0.00039999998989515007,0.237228
"Boise City, ID",74625,0.24816178168126982,0.00019999999494757503,0.237065
"Vallejo, CA",17696,0.24726493490908574,0.00019999999494757503,0.237003
"Waterloo-Cedar Falls, IA",8242,0.24694036581083384,9.999999747378752e-05,0.236472
"Morgantown, WV",9918,0.245788494936597,9.999999747378752e-05,0.236439
"College Station-Bryan, TX",23474,0.24665702841297532,9.999999747378752e-05,0.236347
"Modesto, CA",16680,0.24692716366070896,0.00019999999494757503,0.236331
"Pinehurst-Southern Pines, NC",7232,0.24919264317849615,0.0003000000142492354,0.236034
"Kalamazoo-Portage, MI",25599,0.2455941670514083,0.00019999999494757503,0.236025
"Johnson City, TN",12129,0.24456166974340468,9.999999747378752e-05,0.235798
"Abilene, TX",7684,0.24578232624180188,0.00019999999494757503,0.235685
"Stillwater, OK",5463,0.2453593991084362,9.999999747378752e-05,0.235585
"Concord, NH",10681,0.2451556402812345,0.00019999999494757503,0.235090
"Lafayette-West Lafayette, IN",21127,0.24406638357027932,9.999999747378752e-05,0.234487
"Lubbock, TX",20488,0.24473059285456097,9.999999747378752e-05,0.234430
"St. Cloud, MN",12117,0.24413095598496148,9.999999747378752e-05,0.234381
"Ames, IA",10257,0.24378468305887185,9.999999747378752e-05,0.234279
"Mankato, MN",6867,0.24407064156823435,9.999999747378752e-05,0.234163
"Waco, TX",16144,0.2438073705151599,0.00019999999494757503,0.233647
"Brownsville-Harlingen, TX",8167,0.24425462166737474,0.00019999999494757503,0.233501
"Springfield, MO",48050,0.24361860493085272,0.00019999999494757503,0.233361
"Fargo, ND-MN",19918,0.2423033932579825,9.999999747378752e-05,0.232604
"Champaign-Urbana, IL",21686,0.24201863348565344,9.999999747378752e-05,0.232316
"Tyler, TX",14251,0.24186596666305066,0.00019999999494757503,0.232264
"Binghamton, NY",11829,0.24121564747694396,9.999999747378752e-05,0.232057
"Traverse City, MI",10959,0.24218399439392535,0.00019999999494757503,0.231773
"Grand Rapids-Wyoming-Kentwood, MI",106880,0.24174823485285113,0.00019999999494757503,0.231708
"Auburn-Opelika, AL",12968,0.2407115585922702,9.999999747378752e-05,0.230876
"Wausau, WI",7622,0.24065910460434656,9.999999747378752e-05,0.230517
"Topeka, KS",11259,0.2405625716136012,0.00019999999494757503,0.230482
"Riverside-San Bernardino-Ontario, CA",169998,0.2406631595501022,0.00019999999494757503,0.230232
"Tuscaloosa, AL",12723,0.2384995514174365,9.999999747378752e-05,0.230213
"Winston-Salem, NC",37752,0.2393322493390446,0.00019999999494757503,0.230081
"Jacksonville, NC",11212,0.24172136935482913,0.00019999999494757503,0.229665
"Reno, NV",44479,0.2399368437614373,0.00019999999494757503,0.229457
"Burlington, NC",9969,0.23866839137539345,0.00019999999494757503,0.229411
"Sioux Falls, SD-MN",20130,0.23889284594327587,0.00019999999494757503,0.229359
"Roanoke, VA",20372,0.24002947622571777,0.00019999999494757503,0.228745
"Terre Haute, IN",6909,0.23762046552954713,9.999999747378752e-05,0.228542
"Indianapolis-Carmel-Greenwood, IN",225778,0.2385150788095508,0.00019999999494757503,0.228295
"Fort Wayne, IN",33775,0.23808084021795609,9.999999747378752e-05,0.228275
"Winchester, VA-WV",7255,0.23744278378707995,0.00019999999494757503,0.227429
"Jefferson City, MO",6567,0.23824968731287388,9.999999747378752e-05,0.227044
"Bakersfield-Delano, CA",26034,0.23678695872867864,0.00019999999494757503,0.226588
"Denver-Aurora-Centennial, CO",490495,0.2374802233139647,0.00019999999494757503,0.226534
"Lancaster, PA",33359,0.23629617138055484,0.00019999999494757503,0.226266
"Lexington-Fayette, KY",45500,0.23535603677037645,9.999999747378752e-05,0.226132
"Clarksville, TN-KY",16181,0.2369158266792606,0.00019999999494757503,0.226068
"Battle Creek, MI",5274,0.23889412155127243,9.999999747378752e-05,0.226014
"Jackson, MI",6259,0.23459948800966604,9.999999747378752e-05,0.224956
"New Orleans-Metairie, LA",71532,0.23468978017206077,0.00019999999494757503,0.224753
"Killeen-Temple, TX",23859,0.23534671148585545,0.00019999999494757503,0.224695
"Macon-Bibb County, GA",11239,0.23557297759597798,0.00019999999494757503,0.224664
"Ogden, UT",37166,0.2349139127156477,0.00019999999494757503,0.224452
"Joplin, MO-KS",7851,0.2339207738610898,9.999999747378752e-05,0.224303
"Springfield, IL",5034,0.23361332876064828,9.999999747378752e-05,0.224275
"Bismarck, ND",6118,0.23350405283353803,9.999999747378752e-05,0.223766
"Dubuque, IA",6479,0.23472245662104962,9.999999747378752e-05,0.223646
"Salt Lake City-Murray, UT",174089,0.2340315913159364,0.00019999999494757503,0.223087
"McAllen-Edinburg-Mission, TX",16444,0.23292289536845545,0.00019999999494757503,0.222999
"Bloomington, IL",15988,0.23302649426343386,0.00019999999494757503,0.222917
"Muskegon-Norton Shores, MI",6542,0.23222480836823484,9.999999747378752e-05,0.222562
"Little Rock-North Little Rock-Conway, AR",47784,0.23215504297677514,0.00019999999494757503,0.222376
"Omaha, NE-IA",88016,0.23208108468675984,0.00019999999494757503,0.221971
"Springfield, MA",17528,0.2311002047567852,9.999999747378752e-05,0.221931
"Fayetteville, NC",64678,0.23204214826881242,0.00019999999494757503,0.221806
"Saginaw, MI",9002,0.23173772440205795,9.999999747378752e-05,0.221729
"New Bern, NC",5557,0.2319068558346034,0.00019999999494757503,0.221702
"Wilmington, NC",44717,0.2316617254679905,0.00019999999494757503,0.221504
"Valdosta, GA",5064,0.23135604207737565,9.999999747378752e-05,0.221367
"Toledo, OH",43197,0.23135719555354345,9.999999747378752e-05,0.221196
"Appleton, WI",19260,0.231516479242925,0.00019999999494757503,0.220924
"Columbia, SC",60581,0.23100240943871422,0.00019999999494757503,0.220861
"Greensboro-High Point, NC",72092,0.23073203764597805,0.00019999999494757503,0.220690
"Colorado Springs, CO",494046,0.23249742523007685,0.0003000000142492354,0.220662
"Port St. Lucie, FL",28368,0.23080125085057038,0.00019999999494757503,0.220424
"Baltimore-Columbia-Towson, MD",263414,0.2304608864698861,0.00019999999494757503,0.220360
"San Diego-Chula Vista-Carlsbad, CA",417374,0.23029874831596336,0.00019999999494757503,0.220086
"Minneapolis-St. Paul-Bloomington, MN-WI",478097,0.23041756828795154,0.00019999999494757503,0.219888
"Cookeville, TN",5437,0.22985611501038916,9.999999747378752e-05,0.219790
"Kennewick-Richland, WA",16242,0.22999785686292692,0.00019999999494757503,0.219554
"Anderson Creek, NC",7192,0.2293529333219016,0.00019999999494757503,0.219549
"Oshkosh-Neenah, WI",13368,0.22850209399013163,9.999999747378752e-05,0.218956
"Wichita Falls, TX",5288,0.2305858730349169,0.00019999999494757503,0.218797
"Pensacola-Ferry Pass-Brent, FL",34344,0.230041503098674,0.00019999999494757503,0.218786
"Glens Falls, NY",5082,0.22846928305753691,0.00019999999494757503,0.218615
"Janesville-Beloit, WI",8102,0.22852143873551814,9.999999747378752e-05,0.218341
"Des Moines-West Des Moines, IA",68158,0.22784731310310502,0.00019999999494757503,0.218140
"Hattiesburg, MS",7679,0.22732969081587162,9.999999747378752e-05,0.217997
"Ocala, FL",17058,0.22784161623684923,0.00019999999494757503,0.217904
"Barnstable Town, MA",14605,0.22908627819895713,0.00019999999494757503,0.217802
"Stockton-Lodi, CA",26404,0.22736220964321524,0.00019999999494757503,0.217619
"Seattle-Tacoma-Bellevue, WA",656399,0.2283029681113282,0.00019999999494757503,0.217450
"Syracuse, NY",44649,0.22689742379585778,9.999999747378752e-05,0.217295
"Huntington-Ashland, WV-KY-OH",10103,0.2266080069444106,9.999999747378752e-05,0.217163
"Charleston, WV",7764,0.22575944045246507,9.999999747378752e-05,0.217156
"Milwaukee-Waukesha, WI",180626,0.2272334425903265,0.00019999999494757503,0.217123
"Richmond, VA",141760,0.22735687655133727,0.00019999999494757503,0.216782
"Washington-Arlington-Alexandria, DC-VA-MD-WV",941529,0.22791979933274784,0.00019999999494757503,0.216584
"Albany-Schenectady-Troy, NY",76265,0.22660359353631843,9.999999747378752e-05,0.216561
"San Antonio-New Braunfels, TX",197934,0.22695423521769584,0.00019999999494757503,0.216330
"Green Bay, WI",25074,0.2268664707296256,9.999999747378752e-05,0.216041
"Florence, SC",8445,0.22467532195774886,9.999999747378752e-05,0.215867
"Hickory-Lenoir-Morganton, NC",12974,0.2246413745346477,9.999999747378752e-05,0.215431
"Whitewater-Elkhorn, WI",5941,0.2246722262427767,9.999999747378752e-05,0.215284
"Sioux City, IA-NE-SD",5352,0.22567916598228513,9.999999747378752e-05,0.215247
"Jackson, MS",30515,0.22385339287031075,9.999999747378752e-05,0.215238
"Columbus, GA-AL",13354,0.2246296610168361,0.00019999999494757503,0.214992
"Providence-Warwick, RI-MA",118390,0.22464414084587728,9.999999747378752e-05,0.214984
"Virginia Beach-Chesapeake-Norfolk, VA-NC",119540,0.22495999275905718,0.00019999999494757503,0.214489
"Bowling Green, KY",9353,0.2228633052841453,9.999999747378752e-05,0.214370
"Harrisburg-Carlisle, PA",50636,0.22452746807471893,9.999999747378752e-05,0.214215
"Phoenix-Mesa-Chandler, AZ",495023,0.2244575788222414,0.00019999999494757503,0.213766
"Knoxville, TN",74280,0.2240418209498798,0.00019999999494757503,0.213705
"Lake Havasu City-Kingman, AZ",5156,0.2273799646293953,0.00019999999494757503,0.213538
"Torrington, CT",5903,0.22407416505625227,0.00019999999494757503,0.213281
"Niles, MI",9521,0.2236521159915778,0.00019999999494757503,0.213108
"Nashville-Davidson--Murfreesboro--Franklin, TN",250312,0.2232740115246292,0.00019999999494757503,0.212950
"Atlantic City-Hammonton, NJ",14604,0.22280786718151369,0.00019999999494757503,0.212408
"Rochester, NY",96017,0.2223680394887805,9.999999747378752e-05,0.212358
"Oxnard-Thousand Oaks-Ventura, CA",49492,0.2228837928072617,0.00019999999494757503,0.212196
"San Francisco-Oakland-Fremont, CA",964334,0.22229187732498407,0.00019999999494757503,0.211998
"Columbus, OH",241160,0.22172150303033322,0.00019999999494757503,0.211992
"Louisville-Jefferson County, KY-IN",103848,0.22186414032045043,9.999999747378752e-05,0.211858
"Oklahoma City, OK",98487,0.22185375682505998,9.999999747378752e-05,0.211855
"Seaford, DE",12313,0.22393838164379762,0.00019999999494757503,0.211809
"Amarillo, TX",11283,0.2202855530468333,9.999999747378752e-05,0.211646
"North Port-Bradenton-Sarasota, FL",70926,0.22305242173248407,0.00019999999494757503,0.211601
"Punta Gorda, FL",8849,0.22126650419198074,0.00019999999494757503,0.211436
"Napa, CA",9477,0.2218733560570149,0.00019999999494757503,0.211354
"Rockford, IL",16242,0.22025838511615578,9.999999747378752e-05,0.210935
"Chattanooga, TN-GA",46165,0.2214302236998175,0.00019999999494757503,0.210809
"Kansas City, MO-KS",234833,0.221048521609624,0.00019999999494757503,0.210801
"Elizabethtown, KY",5101,0.2208222695588391,0.00019999999494757503,0.210547
"Buffalo-Cheektowaga, NY",83697,0.22017187299827035,9.999999747378752e-05,0.210521
"El Paso, TX",30732,0.220762410049565,0.00019999999494757503,0.210367
"Erie, PA",14214,0.22011492841338376,9.999999747378752e-05,0.210286
"Flint, MI",17229,0.21940560048926144,9.999999747378752e-05,0.210169
"Hilton Head Island-Bluffton-Port Royal, SC",14880,0.2214134337201808,0.00019999999494757503,0.210013
"Elkhart-Goshen, IN",8949,0.2178619393446053,9.999999747378752e-05,0.209521
"Norwich-New London-Willimantic, CT",17833,0.21824544325247922,9.999999747378752e-05,0.209219
"Raleigh-Cary, NC",215329,0.21878984058786138,0.00019999999494757503,0.208913
"Williamsport, PA",5402,0.21808733746296394,9.999999747378752e-05,0.208812
"Deltona-Daytona Beach-Ormond Beach, FL",40897,0.2197398557122802,0.00019999999494757503,0.208768
"Boston-Cambridge-Newton, MA-NH",828335,0.21861180993661997,0.00019999999494757503,0.208684
"Hagerstown-Martinsburg, MD-WV",11645,0.2181689302574354,9.999999747378752e-05,0.208673
"Dothan, AL",5572,0.2190216074232704,9.999999747378752e-05,0.208543
"Cape Coral-Fort Myers, FL",50651,0.21909758495234097,0.00019999999494757503,0.208466
"Sebastian-Vero Beach-West Vero Corridor, FL",9547,0.22036741337467142,0.0003000000142492354,0.208442
"Sherman-Denison, TX",7227,0.22004097077482898,0.00019999999494757503,0.208247
"Tulsa, OK",72855,0.21843536011685544,9.999999747378752e-05,0.208236
"Virginia Beach-Norfolk-Newport News, VA-NC",16137,0.21662953413948197,0.00019999999494757503,0.207907
"Utica-Rome, NY",10604,0.2173111556228116,9.999999747378752e-05,0.207752
"Kiryas Joel-Poughkeepsie-Newburgh, NY",45646,0.21781150977761418,0.00019999999494757503,0.207510
"Lakeland-Winter Haven, FL",36126,0.2174596103418715,0.00019999999494757503,0.207441
"Reading, PA",23022,0.21680792231643217,9.999999747378752e-05,0.207280
"Sheboygan, WI",7521,0.21817919105948796,9.999999747378752e-05,0.206754
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",689592,0.21637635245811077,0.00019999999494757503,0.206754
"Charleston-North Charleston, SC",100814,0.21666913773403337,0.00019999999494757503,0.206440
"Augusta-Richmond County, GA-SC",35171,0.21614753009827706,9.999999747378752e-05,0.206392
"East Stroudsburg, PA",8115,0.2152208127623491,9.999999747378752e-05,0.206285
"Jackson, TN",7327,0.21512453885775057,9.999999747378752e-05,0.205951
"Midland, MI",6119,0.2155841309045983,9.999999747378752e-05,0.205916
"Montgomery, AL",17772,0.2159817797772779,9.999999747378752e-05,0.205661
"Kingsport-Bristol, TN-VA",10924,0.2140145179765944,9.999999747378752e-05,0.205511
"Vineland, NJ",5426,0.21342287095303866,9.999999747378752e-05,0.205492
"Myrtle Beach-Conway-North Myrtle Beach, SC",21683,0.21488851580927373,0.00019999999494757503,0.205460
"Hartford-West Hartford-East Hartford, CT",119223,0.21488022980316634,0.00019999999494757503,0.205145
"Memphis, TN-MS-AR",88557,0.21475342720690718,9.999999747378752e-05,0.205043
"Evansville, IN",17811,0.21494904218024574,9.999999747378752e-05,0.204986
"York-Hanover, PA",24970,0.21446870591457665,9.999999747378752e-05,0.204886
"Spartanburg, SC",16458,0.2138536572723618,9.999999747378752e-05,0.204521
"Naples-Marco Island, FL",29984,0.2164335308154248,0.0003000000142492354,0.204309
"Birmingham, AL",89895,0.2134632710823813,9.999999747378752e-05,0.204261
"Wichita, KS",40969,0.2136598593619748,9.999999747378752e-05,0.204081
"Racine-Mount Pleasant, WI",9499,0.214119306800533,9.999999747378752e-05,0.203811
"Cedar Rapids, IA",17796,0.21320002195030027,9.999999747378752e-05,0.203529
"St. Louis, MO-IL",266383,0.2128308058866938,9.999999747378752e-05,0.202821
"Jonesboro, AR",5229,0.2137958876321157,9.999999747378752e-05,0.202716
"Davenport-Moline-Rock Island, IA-IL",20965,0.2118568418629124,9.999999747378752e-05,0.202146
"Savannah, GA",37516,0.2124880232530381,0.00019999999494757503,0.201914
"Greenville-Anderson-Greer, SC",80543,0.21195774255662242,9.999999747378752e-05,0.201768
"Cleveland, OH",214198,0.2112595364871947,9.999999747378752e-05,0.201608
"Dayton-Kettering-Beavercreek, OH",64707,0.21102351934495567,9.999999747378752e-05,0.201524
"Jacksonville, FL",160725,0.21193784864937923,0.00019999999494757503,0.201475
"Austin-Round Rock-San Marcos, TX",422186,0.21187156111486996,0.00019999999494757503,0.201466
"Chicago-Naperville-Elgin, IL-IN",1100657,0.21102843144705785,0.00019999999494757503,0.201291
"Los Angeles-Long Beach-Anaheim, CA",1396200,0.21096739481101617,0.00019999999494757503,0.201227
"Tampa-St. Petersburg-Clearwater, FL",352016,0.21174096014791505,0.00019999999494757503,0.201212
"Youngstown-Warren, OH",18796,0.21065500588644806,9.999999747378752e-05,0.200947
"Longview, TX",10712,0.20971354506324252,9.999999747378752e-05,0.200523
"Baton Rouge, LA",50075,0.21037138839575298,9.999999747378752e-05,0.200419
"Orlando-Kissimmee-Sanford, FL",311388,0.21132079093751385,0.00019999999494757503,0.200351
"Kenosha, WI",10645,0.21084829445160835,9.999999747378752e-05,0.200282
"Las Vegas-Henderson-North Las Vegas, NV",168595,0.21094349072803914,0.00019999999494757503,0.200036
"Akron, OH",45073,0.20832547153873268,9.999999747378752e-05,0.199299
"Shreveport-Bossier City, LA",16934,0.20871476868643038,9.999999747378752e-05,0.198949
"Waterbury-Shelton, CT",25534,0.2069178541025168,9.999999747378752e-05,0.198402
"Cincinnati, OH-KY-IN",225517,0.20775137656125903,9.999999747378752e-05,0.198402
"Peoria, IL",17501,0.20861013607725779,9.999999747378752e-05,0.198389
"Gainesville, GA",9415,0.20838067933418863,9.999999747378752e-05,0.197876
"Canton-Massillon, OH",20809,0.2070854578129436,9.999999747378752e-05,0.197847
"Panama City-Panama City Beach, FL",9655,0.207824142512816,0.00019999999494757503,0.197411
"Scranton--Wilkes-Barre, PA",26651,0.20683722511656283,9.999999747378752e-05,0.197253
"Allentown-Bethlehem-Easton, PA-NJ",64230,0.20712143032560842,9.999999747378752e-05,0.196995
"Fayetteville-Springdale-Rogers, AR",61067,0.20697750622353586,0.00019999999494757503,0.196866
"Worcester, MA",59461,0.2061250815515648,9.999999747378752e-05,0.196717
"Warner Robins, GA",8558,0.2048276929088158,9.999999747378752e-05,0.195022
"Atlanta-Sandy Springs-Roswell, GA",844113,0.20506311312084236,0.00019999999494757503,0.194957
"Daphne-Fairhope-Foley, AL",12038,0.2058321809924319,0.00019999999494757503,0.194634
"Monroe, LA",8946,0.20310800316653557,9.999999747378752e-05,0.194277
"Gulfport-Biloxi, MS",17436,0.20136809427366698,9.999999747378752e-05,0.191271
"Fort Smith, AR-OK",8765,0.20037448905190627,9.999999747378752e-05,0.190987
"Miami-Fort Lauderdale-West Palm Beach, FL",596011,0.20126880383946547,0.00019999999494757503,0.190429
"Pittsburgh, PA",550027,0.20153207598532413,0.00019999999494757503,0.190182
"Monroe, MI",6734,0.19784907874767527,9.999999747378752e-05,0.189783
"Charlotte-Concord-Gastonia, NC-SC",362799,0.19922131740746585,0.00019999999494757503,0.189744
"Crestview-Fort Walton Beach-Destin, FL",19207,0.20129567292213854,0.00019999999494757503,0.189618
"Sierra Vista-Douglas, AZ",5775,0.20088235461336407,0.00019999999494757503,0.189437
"Corpus Christi, TX",18949,0.19861995832279522,9.999999747378752e-05,0.189034
"Slidell-Mandeville-Covington, LA",12598,0.19837086799123402,9.999999747378752e-05,0.188443
"Columbus, IN",6178,0.1967965357733206,9.999999747378752e-05,0.187601
"Mobile, AL",21444,0.19694363411296917,9.999999747378752e-05,0.187278
"New York-Newark-Jersey City, NY-NJ",2400879,0.19648132753618755,0.00019999999494757503,0.187061
"Jefferson, GA",5156,0.19585645809712468,9.999999747378752e-05,0.185609
"Bridgeport-Stamford-Danbury, CT",82632,0.19469507050825727,0.00019999999494757503,0.184940
