GROUP_NAME,N,AVG_PROB,MEDIAN_PROB,POSITIVE_SHARE
chiropractors,5627,0.6318207023647084,0.9998999834060669,0.618091
dietitians and nutritionists,19678,0.557569350313126,0.9983999729156494,0.546194
social workers,31779,0.5568327558733676,0.9973999857902527,0.544039
psychologists,52200,0.553116797416776,0.9922000169754028,0.538908
occupational therapy assistants and aides,3157,0.5277728528468831,0.9810000061988831,0.518530
counselors,88871,0.53015982682788,0.9707000255584717,0.518111
special education teachers,24750,0.49565378421138107,0.35830000042915344,0.484566
dentists,9696,0.4898090229614036,0.2013000026345253,0.478754
therapists,82311,0.4890829742352378,0.19850000739097595,0.477676
miscellaneous healthcare diagnosing or treating practitioners,20766,0.48213726174097987,0.10429999977350235,0.471540
personal service managers,8726,0.4739826484890491,0.059299999848008156,0.460119
physical therapist assistants and aides,9014,0.46271128125564387,0.006399999838322401,0.453961
miscellaneous community and social service specialists,26312,0.4645384450336171,0.017999999225139618,0.453899
optometrists,3245,0.4602692438247997,0.012799999676644802,0.452080
pharmacists,25206,0.46088598968947464,0.006099999882280827,0.451956
registered nurses,207373,0.46077565255837805,0.00839999970048666,0.451443
audiologists,2478,0.46065346915540645,0.018149999901652336,0.450363
social and community service managers,12165,0.4617832209613537,0.017100000753998756,0.449240
"directors, religious activities and education",2277,0.46032362633945073,0.019700000062584877,0.447519
massage therapists,9476,0.4488301066697697,0.00989999994635582,0.435205
elementary and middle school teachers,63359,0.4406599868249149,0.002199999988079071,0.431036
recreation and fitness workers,22662,0.44181552259998635,0.005900000222027302,0.429265
residential advisors,7489,0.43769735488214173,0.002300000051036477,0.428228
clergy,26226,0.44033276401976706,0.01145000010728836,0.426104
instructional coordinators,19031,0.4399503900803322,0.010300000198185444,0.424833
fundraisers,7998,0.4369727669826577,0.0071000000461936,0.422981
"adult basic education, adult secondary education, and english as a second language instructors",18120,0.43013140589898285,0.002099999925121665,0.420088
secondary school teachers,32024,0.4302494145810772,0.002149999956600368,0.419779
medical and health services managers,86586,0.4258386066468867,0.002300000051036477,0.414305
education and childcare administrators,38369,0.42287317992691054,0.0017999999690800905,0.412729
physician assistants,19785,0.4116503146357271,0.0003000000142492354,0.403589
self-enrichment teachers,4421,0.40511352517340476,0.00139999995008111,0.395612
preschool and kindergarten teachers,48304,0.3929912934810193,0.0006000000284984708,0.383239
miscellaneous personal care and service workers,1102,0.3964288556735994,0.003700000001117587,0.382940
tutors,13458,0.39240872230378243,0.0006000000284984708,0.382078
first-line supervisors of personal service workers,1117,0.38957108229470067,0.0006000000284984708,0.380483
"judges, magistrates, and other judicial workers",4004,0.39311313588771735,0.002199999988079071,0.380120
physicians,43340,0.38628423974000775,0.0003000000142492354,0.376604
"education and library science teachers, postsecondary",1050,0.3881205705063587,0.0007999999797903001,0.376190
childcare workers,8668,0.38384252335872815,0.0010000000474974513,0.372981
medical scientists,9908,0.3820182265299096,0.0005000000237487257,0.371720
"health teachers, postsecondary",25938,0.38091186182839165,0.000699999975040555,0.368957
"nursing assistants, orderlies, and psychiatric aides",4754,0.37709158488151207,0.00039999998989515007,0.367270
miscellaneous religious workers,1381,0.37909500217271325,0.0012000000569969416,0.363505
home health and personal care aides,10494,0.374443423723181,0.0005000000237487257,0.363160
licensed practical and licensed vocational nurses,4803,0.3737437215824062,0.0006000000284984708,0.362274
"arts, communications, history, and humanities teachers, postsecondary",48457,0.3698212342499665,0.000699999975040555,0.357740
miscellaneous health practitioners and technical workers,12619,0.3654867886271519,0.0003000000142492354,0.355496
miscellaneous teachers and instructors,2878,0.36208081854958,0.0007999999797903001,0.351286
veterinarians,5063,0.36112048083539944,0.00019999999494757503,0.349595
"substitute teachers, short-term",25091,0.3570788798335366,0.00039999998989515007,0.346738
health practitioner support technologists and technicians,44575,0.3525520057025729,0.00019999999494757503,0.343937
training and development managers,37099,0.35820368109889233,0.0010999999940395355,0.343298
emergency medical technicians and paramedics,10664,0.3511124989180025,0.0003000000142492354,0.342461
"social sciences teachers, postsecondary",4941,0.35456642276835043,0.0010000000474974513,0.340417
surgeons,4701,0.34969978631033977,0.00019999999494757503,0.340353
legislators,9622,0.35064617456472585,0.000699999975040555,0.339119
miscellaneous health technologists and technicians,31886,0.34522698580679295,0.0003000000142492354,0.335382
miscellaneous healthcare support occupations,46685,0.34112955250374766,0.00019999999494757503,0.332269
library technicians,1317,0.34324646833376365,0.00019999999494757503,0.331055
training and development specialists,21050,0.3440066832062,0.0007999999797903001,0.328884
"eligibility interviewers, government programs",7113,0.3376917042475078,0.0003000000142492354,0.328553
miscellaneous postsecondary teachers,25483,0.34229833917244995,0.0005000000237487257,0.328376
teaching assistants,38135,0.33611639350597133,0.00019999999494757503,0.326314
urban and regional planners,2759,0.3362212022826651,0.0005000000237487257,0.326205
emergency management directors,2124,0.33834279595392047,0.0010000000474974513,0.323917
"law, criminal justice, and social work teachers, postsecondary",1951,0.34105104991498697,0.000699999975040555,0.322399
miscellaneous sales and related workers,8704,0.3281277680053525,0.00039999998989515007,0.317670
dancers and choreographers,2554,0.322988213457929,0.0005000000237487257,0.312060
"interviewers, except eligibility and loan",3296,0.3180899566616716,0.00019999999494757503,0.308556
"life sciences teachers, postsecondary",15803,0.3173464334193222,0.00019999999494757503,0.307600
"athletes, coaches, umpires, and related workers",34195,0.3164711994713983,0.00019999999494757503,0.306975
animal caretakers,4276,0.3086344942013517,0.00019999999494757503,0.297708
diagnostic related technologists and technicians,17247,0.3084186575544395,9.999999747378752e-05,0.297327
farm and home management educators,1290,0.3030311620715611,0.00019999999494757503,0.295349
"library assistants, clerical",3681,0.3024901379908935,9.999999747378752e-05,0.293670
occupational health and safety specialists and technicians,8297,0.30515380210499043,0.0005000000237487257,0.287935
"math and computer science teachers, postsecondary",40681,0.2995200528004525,0.0003000000142492354,0.286719
librarians and media collections specialists,7298,0.2931653183541312,9.999999747378752e-05,0.284187
"physical sciences teachers, postsecondary",36569,0.2921054711366763,0.00019999999494757503,0.279663
first-line supervisors of firefighting and prevention workers,2539,0.2903594320755558,0.0003000000142492354,0.278850
insurance sales agents,35135,0.2882567517473789,0.0003000000142492354,0.276875
natural sciences managers,42412,0.28544732778891674,0.00019999999494757503,0.275512
conservation scientists and foresters,6886,0.2854843154542733,0.0003000000142492354,0.274906
entertainment and recreation managers,1395,0.2834946229070891,0.00019999999494757503,0.273835
first-line supervisors of law enforcement workers,4580,0.2808032744311475,0.0003000000142492354,0.269432
biological technicians,2950,0.27716450786473074,9.999999747378752e-05,0.267797
clinical laboratory technologists and technicians,12147,0.27435993170897,9.999999747378752e-05,0.266403
human resources workers,160503,0.2785314991748862,0.0005000000237487257,0.262874
"business teachers, postsecondary",5518,0.27068832824352385,9.999999747378752e-05,0.261870
miscellaneous social scientists and related workers,20635,0.2647350320753965,0.00019999999494757503,0.254567
human resources managers,146983,0.26907798893775936,0.0005000000237487257,0.252961
"human resources assistants, except payroll and timekeeping",10097,0.26472585854297653,0.00019999999494757503,0.252748
agricultural and food scientists,1542,0.26133352750674493,9.999999747378752e-05,0.252270
chief executives,2659574,0.26301578292815975,0.00039999998989515007,0.250892
public relations and fundraising managers,86825,0.2617541750454434,0.0003000000142492354,0.249168
"court, municipal, and license clerks",4494,0.25790500595310056,9.999999747378752e-05,0.248999
tour and travel guides,4860,0.26297773607546054,0.0003000000142492354,0.248971
"actors, producers, and directors",87491,0.25819084066520576,0.00019999999494757503,0.247751
social science research assistants,27507,0.2544606203080351,0.00019999999494757503,0.243974
"hosts and hostesses, restaurant, lounge, and coffee shop",5471,0.2540366655681825,0.00019999999494757503,0.243466
"architects, except naval",4586,0.25621709465690273,0.00019999999494757503,0.242695
real estate brokers and sales agents,278683,0.25431797957242386,0.0005000000237487257,0.241773
public relations specialists,34902,0.25165079593174844,0.00019999999494757503,0.240731
fast food and counter workers,9921,0.2425384231006116,9.999999747378752e-05,0.234654
firefighters,5021,0.24156831246035215,9.999999747378752e-05,0.233818
atmospheric and space scientists,1139,0.2443637391990867,9.999999747378752e-05,0.233538
"engineering and architecture teachers, postsecondary",2193,0.24729931565245453,0.00019999999494757503,0.233470
miscellaneous personal appearance workers,9721,0.24009945422822707,9.999999747378752e-05,0.229503
miscellaneous protective service workers,5400,0.23900648092694204,9.999999747378752e-05,0.229259
"farmers, ranchers, and other agricultural managers",1910,0.2380774339130162,0.00019999999494757503,0.228272
"agents and business managers of artists, performers, and athletes",5549,0.24027449934054604,0.0003000000142492354,0.227969
miscellaneous office and administrative support workers,7797,0.23799729300661476,9.999999747378752e-05,0.227523
desktop publishers,3441,0.23609011886757197,0.0003000000142492354,0.223191
credit counselors and loan officers,75593,0.2364684131699474,0.0003000000142492354,0.223063
economists,9563,0.23473265666422582,9.999999747378752e-05,0.222420
environmental science and geoscience technicians,1456,0.23605714250649457,9.999999747378752e-05,0.221841
biological scientists,6486,0.22944517387445945,9.999999747378752e-05,0.218471
"compensation, benefits, and job analysis specialists",22333,0.23080379225762018,0.00019999999494757503,0.218197
"news analysts, reporters and journalists",20406,0.23004178632310923,0.00019999999494757503,0.217191
miscellaneous media and communication workers,10151,0.22593351325538322,9.999999747378752e-05,0.217023
miscellaneous agricultural workers,2728,0.2257059014195888,9.999999747378752e-05,0.215909
"opticians, dispensing",2066,0.22592052187728512,9.999999747378752e-05,0.215876
sailors and marine oilers,5490,0.2226567753550566,9.999999747378752e-05,0.214572
compensation and benefits managers,35301,0.22417168318443384,0.00019999999494757503,0.212430
environmental engineers,4831,0.22081382693258605,9.999999747378752e-05,0.211343
miscellaneous physical scientists,1002,0.221734830209973,0.00019999999494757503,0.210579
financial analysts and advisors,209379,0.22080708519422956,9.999999747378752e-05,0.208588
broadcast announcers and radio disc jockeys,3762,0.21820236521455721,0.00019999999494757503,0.208400
"miscellaneous first-line supervisors, protective service workers",3198,0.22394806086209643,0.00019999999494757503,0.207942
"archivists, curators, and museum technicians",3691,0.2196742615242213,9.999999747378752e-05,0.207803
medical records specialists,10938,0.21508517034339475,9.999999747378752e-05,0.207076
detectives and criminal investigators,12775,0.21673668039954846,9.999999747378752e-05,0.206027
reservation and transportation ticket agents and travel clerks,4440,0.2171947743820236,0.00019999999494757503,0.204955
"bailiffs, correctional officers, and jailers",3906,0.213378852580197,9.999999747378752e-05,0.204813
receptionists and information clerks,13550,0.21341889979788492,9.999999747378752e-05,0.204576
food preparation workers,6655,0.21205813631347778,9.999999747378752e-05,0.203456
police officers,14025,0.21203348249640672,9.999999747378752e-05,0.202424
"miscellaneous entertainers and performers, sports and related workers",1639,0.21547754682050155,0.00039999998989515007,0.201952
waiters and waitresses,23393,0.20811983445512577,9.999999747378752e-05,0.200530
security guards and gambling surveillance officers,2075,0.21107783112973003,0.00019999999494757503,0.199518
"barbers, hairdressers, hairstylists and cosmetologists",14441,0.20919999947733997,9.999999747378752e-05,0.198878
"hotel, motel, and resort desk clerks",14162,0.2061837306309586,9.999999747378752e-05,0.196582
flight attendants,9333,0.2068018102450211,9.999999747378752e-05,0.195864
secretaries and administrative assistants,251351,0.20411731985595227,9.999999747378752e-05,0.195317
environmental scientists and geoscientists,11597,0.2038720441979806,0.00019999999494757503,0.193843
"baggage porters, bellhops, and concierges",2834,0.2007166545164832,9.999999747378752e-05,0.192308
bioengineers and biomedical engineers,4015,0.19875653744128843,9.999999747378752e-05,0.190785
travel agents,7502,0.2016891355633755,0.00019999999494757503,0.190216
miscellaneous legal support workers,12787,0.19809582331755518,9.999999747378752e-05,0.190193
miscellaneous managers,167847,0.20001393787578597,9.999999747378752e-05,0.189125
"first-line supervisors of farming, fishing, and forestry workers",1860,0.19882698868005005,9.999999747378752e-05,0.188172
writers and editors,72611,0.19990805903395137,0.00019999999494757503,0.187864
first-line supervisors of entertainment and recreation workers,2191,0.19731862118856372,9.999999747378752e-05,0.187129
"office clerks, general",8427,0.19490061660951427,9.999999747378752e-05,0.186781
first-line supervisors of office and administrative support workers,44542,0.19636253832292544,9.999999747378752e-05,0.186723
lawyers and judicial law clerks,178693,0.19553918519837335,9.999999747378752e-05,0.186398
building cleaning workers,5518,0.19400124997446452,9.999999747378752e-05,0.185756
insurance claims and policy processing clerks,8391,0.19354043565960433,9.999999747378752e-05,0.184960
"meeting, convention, and event planners",27708,0.19420996785303268,9.999999747378752e-05,0.183377
"models, demonstrators, and product promoters",12454,0.19173874198272745,9.999999747378752e-05,0.183234
cashiers,14307,0.18943974228624427,9.999999747378752e-05,0.182568
grounds maintenance workers,2547,0.1902838626611808,9.999999747378752e-05,0.182175
management analysts,21718,0.1883970527030345,9.999999747378752e-05,0.179160
telemarketers,10886,0.1859543721808968,0.00019999999494757503,0.177108
new accounts clerks,2700,0.18377025888848206,9.999999747378752e-05,0.175556
retail salespersons,18927,0.1832899767677173,9.999999747378752e-05,0.174988
private detectives and investigators,2624,0.1875882618183357,0.00014999999621068127,0.174543
administrative services and facilities managers,60011,0.18603703954389003,9.999999747378752e-05,0.174501
miscellaneous business operations specialists,39182,0.18407883426802418,9.999999747378752e-05,0.173370
proofreaders and copy markers,5935,0.1806633359090232,9.999999747378752e-05,0.172367
general and operations managers,484279,0.18292867134967083,9.999999747378752e-05,0.172124
"musicians, singers, and related workers",35384,0.17969397140857762,0.00019999999494757503,0.170840
passenger vehicle drivers,6976,0.17984405066001644,9.999999747378752e-05,0.170298
lodging managers,11201,0.17687044880736058,9.999999747378752e-05,0.167485
dispatchers,4031,0.17461565325612374,9.999999747378752e-05,0.166212
market research analysts and marketing specialists,82538,0.17488872724868115,9.999999747378752e-05,0.165778
"property, real estate, and community association managers",43058,0.1746525033218533,9.999999747378752e-05,0.165776
tellers,6043,0.1724758228599891,9.999999747378752e-05,0.165315
statisticians,5137,0.17324315705288446,9.999999747378752e-05,0.165272
dining room and cafeteria attendants and bartender helpers,1498,0.1725724293229215,9.999999747378752e-05,0.164887
customer service representatives,123113,0.17282823136766337,9.999999747378752e-05,0.164312
first-line supervisors of sales workers,44624,0.1728320451775392,9.999999747378752e-05,0.163432
"sales representatives, wholesale and manufacturing",12865,0.16856411147391706,9.999999747378752e-05,0.162612
bakers,2992,0.16858843527706802,9.999999747378752e-05,0.161096
military officer special and tactical operations leaders,4623,0.17140309283332356,9.999999747378752e-05,0.159420
air traffic controllers and airfield operations specialists,11188,0.16803088080751355,9.999999747378752e-05,0.159367
bartenders,14784,0.166422124927553,9.999999747378752e-05,0.158753
advertising and promotions managers,106380,0.16867945825425376,0.00019999999494757503,0.158733
miscellaneous entertainment attendants and related workers,1698,0.164098350402897,9.999999747378752e-05,0.156655
file clerks,1488,0.16854428730693954,9.999999747378752e-05,0.156586
paralegals and legal assistants,50133,0.16284000517477976,9.999999747378752e-05,0.156244
dental and ophthalmic laboratory technicians and medical appliance technicians,1151,0.16420217183602703,0.0,0.155517
astronomers and physicists,13067,0.1631738039422633,9.999999747378752e-05,0.155200
computer and information systems managers,294811,0.16326828552686948,0.00019999999494757503,0.153515
nuclear engineers,5477,0.1611894648124186,9.999999747378752e-05,0.153003
compliance officers,27490,0.1602445721982121,9.999999747378752e-05,0.151983
military enlisted tactical operations and air/weapons specialists and crew members,4381,0.15725715563020237,9.999999747378752e-05,0.148824
cooks,12959,0.15657178761488424,9.999999747378752e-05,0.148160
ship and boat captains and operators,6933,0.1567360015421485,0.00019999999494757503,0.147844
gambling services workers,1264,0.1537771357096039,9.999999747378752e-05,0.147152
construction and building inspectors,9593,0.15549797741115057,9.999999747378752e-05,0.146044
marketing and sales managers,656147,0.15416730779103724,9.999999747378752e-05,0.145149
"mining and geological engineers, including mining safety engineers",7604,0.15470931034449917,9.999999747378752e-05,0.144135
locomotive engineers and operators,6408,0.15211050213802582,9.999999747378752e-05,0.142322
civil engineers,40717,0.14869021009212527,9.999999747378752e-05,0.141587
order clerks,2448,0.1481268378943687,9.999999747378752e-05,0.140931
construction laborers,1530,0.14835731965351584,9.999999747378752e-05,0.140523
"claims adjusters, appraisers, examiners, and investigators",19269,0.14734706999447128,9.999999747378752e-05,0.139706
miscellaneous financial specialists,10041,0.1491225472871953,9.999999747378752e-05,0.139628
couriers and messengers,1451,0.14728428667265608,9.999999747378752e-05,0.139214
