GROUP_NAME,N,AVG_PROB,MEDIAN_PROB,POSITIVE_SHARE
art therapists,1876,0.6326049560928461,0.9997000098228455,0.618337
chiropractors,5627,0.6318207023647084,0.9998999834060669,0.618091
recreational therapists,821,0.6137081591828457,0.9998000264167786,0.601705
marriage and family therapists,8903,0.6157993696006918,0.9997000098228455,0.600584
nurse midwives,648,0.6075108005397739,0.9998000264167786,0.600309
"psychologists, all other",4544,0.5992108480953099,0.9988999962806702,0.584507
"counselors, all other",6138,0.59995110645931,0.9991000294685364,0.583741
mental health counselors,17255,0.5939850579908507,0.9995999932289124,0.580238
substance abuse and behavioral disorder counselors,7666,0.5839294404376055,0.9990000128746033,0.571876
acupuncturists,3019,0.5851707509348891,0.9990000128746033,0.571050
midwives,542,0.5756077462977598,0.9991000294685364,0.566421
fitness and wellness coordinators,5642,0.5778907998151589,0.9987999796867371,0.564162
genetic counselors,1613,0.5695590181481309,0.9988999962806702,0.559826
healthcare social workers,8549,0.5726864293976325,0.9988999962806702,0.559247
music therapists,719,0.5699860896723108,0.9958000183105469,0.556328
mental health and substance abuse social workers,8739,0.5649269238229161,0.9980000257492065,0.551207
community health workers,1804,0.5554829249104739,0.9993000030517578,0.546563
dietitians and nutritionists,19678,0.557569350313126,0.9983999729156494,0.546194
clinical and counseling psychologists,40492,0.5588905078487996,0.9944500029087067,0.544107
"social workers, all other",3181,0.5490893099775772,0.9957000017166138,0.534109
health education specialists,9222,0.5443978190217167,0.9930999875068665,0.533290
"child, family, and school social workers",11310,0.5407729780417552,0.9922999739646912,0.529797
"special education teachers, kindergarten",562,0.5287855856487724,0.9598000049591064,0.523132
occupational therapy assistants,3157,0.5277728528468831,0.9810000061988831,0.518530
occupational therapists,14174,0.5280744869146308,0.9768999814987183,0.516932
physical therapists,31333,0.5271835463406391,0.9757000207901001,0.516612
"special education teachers, middle school",2456,0.5274843222608807,0.9709999859333038,0.515065
rehabilitation counselors,738,0.5231154456141716,0.9885999858379364,0.512195
"therapists, all other",1874,0.5285265192989518,0.9571999907493591,0.510139
"special education teachers, secondary school",1078,0.52063367127219,0.9343500137329102,0.509276
"pediatricians, general",2466,0.5183850756605854,0.8991999924182892,0.507705
dental hygienists,8079,0.5110483836163663,0.8198000192642212,0.500928
school psychologists,6111,0.5096696757387339,0.807200014591217,0.500245
family medicine physicians,2713,0.5081306286709344,0.7781000137329102,0.498341
"dentists, general",7922,0.5020079890399275,0.583050012588501,0.491669
"special education teachers, preschool",2705,0.5019922349216022,0.4934999942779541,0.488725
obstetricians and gynecologists,1796,0.495591312439497,0.3312000036239624,0.486080
"special education teachers, all other",17649,0.48640372667412785,0.14249999821186066,0.475608
psychiatric technicians,6658,0.4844483615725624,0.09680000320076942,0.474767
physical therapist assistants,6264,0.4805768345850687,0.05794999934732914,0.471105
exercise physiologists,2955,0.48106916988661075,0.08529999852180481,0.469036
"educational, guidance, and career counselors and advisors",48171,0.4741275420092639,0.03550000116229057,0.463785
"nursing instructors and teachers, postsecondary",3459,0.4727440864936156,0.03280000016093254,0.461983
optometrists,3245,0.4602692438247997,0.012799999676644802,0.452080
pharmacists,25206,0.46088598968947464,0.006099999882280827,0.451956
registered nurses,205116,0.4609700101479547,0.008500000461935997,0.451671
audiologists,2478,0.46065346915540645,0.018149999901652336,0.450363
social and community service managers,12165,0.4617832209613537,0.017100000753998756,0.449240
"education and childcare administrators, preschool and daycare",5708,0.4576780291523862,0.011649999767541885,0.447968
"directors, religious activities and education",2277,0.46032362633945073,0.019700000062584877,0.447519
"middle school teachers, except special and career/technical education",9248,0.4562589083700168,0.009399999864399433,0.445610
orthodontists,1070,0.4631502787146835,0.04724999889731407,0.442991
epidemiologists,5273,0.4523558112148534,0.012900000438094139,0.439598
"psychology teachers, postsecondary",2038,0.4527236001789765,0.022350000217556953,0.438665
nurse practitioners,993,0.44845589026775473,0.003100000089034438,0.438066
exercise trainers and group fitness instructors,16292,0.45008885842663154,0.012000000104308128,0.436717
massage therapists,9476,0.4488301066697697,0.00989999994635582,0.435205
clinical nurse specialists,993,0.445290330519504,0.006599999964237213,0.433031
industrial-organizational psychologists,575,0.45209478162110117,0.041999999433755875,0.431304
"education administrators, kindergarten through secondary",13505,0.4396155404677844,0.002400000113993883,0.430507
acute care nurses,1155,0.44347515021898964,0.004999999888241291,0.430303
"secondary school teachers, except special and career/technical education",29778,0.43944327539589106,0.003100000089034438,0.428941
"elementary school teachers, except special education",53726,0.43831384657383765,0.0017999999690800905,0.428898
residential advisors,7489,0.43769735488214173,0.002300000051036477,0.428228
clergy,26226,0.44033276401976706,0.01145000010728836,0.426104
instructional coordinators,19031,0.4399503900803322,0.010300000198185444,0.424833
"recreation and fitness studies teachers, postsecondary",1116,0.43447804522336836,0.004000000189989805,0.424731
fundraisers,7998,0.4369727669826577,0.0071000000461936,0.422981
naturopathic physicians,2519,0.4310234999035512,0.0024999999441206455,0.421596
"arbitrators, mediators, and conciliators",3055,0.4354749908114071,0.012299999594688416,0.421277
radiation therapists,2453,0.4326545851706874,0.0026000000070780516,0.421117
"adult basic education, adult secondary education, and english as a second language instructors",18120,0.43013140589898285,0.002099999925121665,0.420088
social and human service assistants,7307,0.42744279341260744,0.0019000000320374966,0.417545
psychiatrists,3888,0.43126105843327267,0.003700000001117587,0.417438
media programming directors,32371,0.42838189291454176,0.0024999999441206455,0.417256
physician assistants,17968,0.4243528203933169,0.0005000000237487257,0.416685
fundraising managers,9387,0.43272035673525444,0.007199999876320362,0.416427
speech-language pathologists,16226,0.42900298163779216,0.0035000001080334187,0.415752
physical therapist aides,2750,0.4220167990536376,0.0006000000284984708,0.414909
"healthcare diagnosing or treating practitioners, all other",7131,0.42459499267223316,0.0015999999595806003,0.414528
medical and health services managers,86586,0.4258386066468867,0.002300000051036477,0.414305
childcare workers,3546,0.4239334451528474,0.002300000051036477,0.412578
recreation workers,6370,0.4206555245956374,0.00139999995008111,0.410204
political scientists,4731,0.4204739999839137,0.0031999999191612005,0.407948
physical medicine and rehabilitation physicians,1952,0.4187779701602177,0.002099999925121665,0.407275
"preschool teachers, except special education",8112,0.41756754077114705,0.001500000013038516,0.406312
"biological science teachers, postsecondary",2631,0.4111523364740663,0.0013000000035390258,0.401748
clinical research coordinators,17503,0.41042625136118666,0.0010999999940395355,0.401188
"philosophy and religion teachers, postsecondary",13696,0.41124463958270113,0.0024999999441206455,0.397780
self-enrichment teachers,4421,0.40511352517340476,0.00139999995008111,0.395612
"teaching assistants, special education",5617,0.40559782694613866,0.0008999999845400453,0.395051
hospitalists,1762,0.40161095218813375,0.00039999998989515007,0.393871
personal financial advisors,49772,0.41619696317069427,0.017100000753998756,0.391545
"education administrators, postsecondary",12655,0.40146812987156105,0.0012000000569969416,0.391229
"health technologists and technicians, all other",6200,0.39718517627062666,0.00039999998989515007,0.388226
"education administrators, all other",6501,0.3992013217461584,0.0012000000569969416,0.386710
"door-to-door sales workers, news and street vendors, and related workers",5960,0.39585592179767587,0.0013000000035390258,0.385570
"community and social service specialists, all other",5575,0.3950334517249207,0.0013000000035390258,0.382960
"personal care and service workers, all other",1102,0.3964288556735994,0.003700000001117587,0.382940
tutors,13458,0.39240872230378243,0.0006000000284984708,0.382078
"morticians, undertakers, and funeral arrangers",909,0.388387127209122,0.0003000000142492354,0.381738
nursing assistants,2793,0.39144926489244924,0.00039999998989515007,0.381310
first-line supervisors of personal service workers,1117,0.38957108229470067,0.0006000000284984708,0.380483
"kindergarten teachers, except special education",40192,0.3880310397484975,0.0006000000284984708,0.378583
dietetic technicians,1477,0.38133879391142106,0.0003000000142492354,0.377116
park naturalists,1075,0.3854796274144441,0.0008999999845400453,0.373023
pediatric surgeons,1573,0.3844413846283185,0.0006000000284984708,0.371901
athletic trainers,5313,0.3806490861387492,0.0003000000142492354,0.371165
personal care aides,4981,0.3807994366347679,0.0006000000284984708,0.371010
respiratory therapists,8102,0.37660895983152104,0.00039999998989515007,0.367810
"low vision therapists, orientation and mobility specialists, and vision rehabilitation therapists",1778,0.3755284579578641,0.0007999999797903001,0.365017
"physicians, all other",12086,0.3728119795502702,0.00019999999494757503,0.364720
"religious workers, all other",1381,0.37909500217271325,0.0012000000569969416,0.363505
"criminal justice and law enforcement teachers, postsecondary",1028,0.3808519442948137,0.0015499999863095582,0.362840
"teaching assistants, preschool, elementary, middle, and secondary school, except special education",16002,0.3724467618947107,0.00039999998989515007,0.362767
licensed practical and licensed vocational nurses,4803,0.3737437215824062,0.0006000000284984708,0.362274
"history teachers, postsecondary",1978,0.3709295742366624,0.0008999999845400453,0.359454
"art, drama, and music teachers, postsecondary",6830,0.3696321951575711,0.000699999975040555,0.357980
home health aides,5513,0.3687007608694509,0.0005000000237487257,0.356067
probation officers and correctional treatment specialists,2404,0.36388173766032067,0.00039999998989515007,0.354825
"health specialties teachers, postsecondary",22479,0.3667809990179014,0.0005000000237487257,0.354642
emergency medical technicians,6868,0.3617907676676124,0.00019999999494757503,0.352941
"teachers and instructors, all other",2878,0.36208081854958,0.0007999999797903001,0.351286
urologists,963,0.36322492126323513,0.00039999998989515007,0.350987
"english language and literature teachers, postsecondary",3610,0.3605955114114922,0.0005000000237487257,0.350139
"teaching assistants, all other",677,0.3564893634668576,0.0003000000142492354,0.350074
veterinarians,5063,0.36112048083539944,0.00019999999494757503,0.349595
medical assistants,28903,0.3586196994223959,0.00019999999494757503,0.349548
