OCCUPATION,RACE,N,AVG_PROB,POSITIVE_SHARE
general and operations managers,White,359036,0.18171666540151657,0.170991
human resources workers,White,102050,0.29308081957857063,0.277256
"claims adjusters, appraisers, examiners, and investigators",White,12659,0.14099322972492723,0.133660
miscellaneous health technologists and technicians,White,19471,0.34675324748431535,0.336706
chief executives,White,2053256,0.25420897439183054,0.242011
"compensation, benefits, and job analysis specialists",White,15423,0.2298718145302303,0.217532
miscellaneous computer occupations,Black,37619,0.1640839386473448,0.154629
procurement clerks,White,7987,0.10108108142268171,0.095781
miscellaneous engineers,Asian,35422,0.08805315046660091,0.082293
chief executives,Black,224931,0.35980694646550904,0.347191
computer and information analysts,Black,8933,0.1223160862251995,0.110377
medical and health services managers,Black,9651,0.46732740503088,0.454357
data scientists,Hispanic,12176,0.1403320216529488,0.132392
recreation and fitness workers,White,17228,0.44112835965851804,0.428372
natural sciences managers,White,27677,0.2833417667471367,0.273296
medical records specialists,White,7503,0.21390964884944813,0.206451
miscellaneous managers,Hispanic,20139,0.2031777541942539,0.191221
physicians,Asian,8489,0.39913132161979,0.390505
massage therapists,White,7090,0.45469710764432825,0.441890
"property, real estate, and community association managers",Hispanic,6157,0.17024575245530632,0.162417
"securities, commodities, and financial services sales agents",Asian,11868,0.12724550863329726,0.120661
first-line supervisors of office and administrative support workers,Hispanic,5601,0.19982670920322998,0.191216
physical therapist assistants and aides,White,6489,0.4569140225251332,0.447989
paralegals and legal assistants,White,34740,0.150645209766231,0.144013
education and childcare administrators,White,27497,0.4129764104689012,0.402808
human resources managers,Black,14985,0.28325078375960905,0.266200
"substitute teachers, short-term",White,17931,0.35430910614356415,0.343595
"miscellaneous sales representatives, services",Black,13928,0.17186372734817068,0.162694
cost estimators,White,7741,0.07185530280519803,0.066787
advertising and promotions managers,Hispanic,10010,0.17385497472472003,0.165135
"adult basic education, adult secondary education, and english as a second language instructors",White,13376,0.42407130545104227,0.413278
"shipping, receiving, and inventory clerks",White,5330,0.116455459317989,0.111069
teaching assistants,Asian,6123,0.23573396965941812,0.227993
designers,Hispanic,8046,0.13768233881220782,0.130872
accountants and auditors,White,90968,0.09046279551991197,0.085700
chief executives,Hispanic,197817,0.267377095846006,0.254882
"arts, communications, history, and humanities teachers, postsecondary",White,35764,0.3620307170414874,0.349681
miscellaneous computer occupations,Asian,95478,0.08606514787728362,0.079704
food service managers,White,17467,0.1488120052419042,0.139921
management analysts,White,13610,0.18986432724513908,0.180676
public relations and fundraising managers,White,64989,0.2591974405231384,0.246426
computer support specialists,White,56562,0.12000745529748688,0.112461
credit counselors and loan officers,White,56897,0.23897982964246275,0.225319
preschool and kindergarten teachers,White,34906,0.3873190843116551,0.377356
miscellaneous community and social service specialists,White,16768,0.4681899140862247,0.457240
human resources workers,Hispanic,18893,0.2945503408027547,0.279363
"securities, commodities, and financial services sales agents",Black,16148,0.16542447942081678,0.157481
miscellaneous computer occupations,Hispanic,48796,0.14543012098920016,0.137040
occupational health and safety specialists and technicians,White,5984,0.2987561827367889,0.281250
registered nurses,Black,22396,0.4874889561742004,0.478478
social and community service managers,White,8340,0.4555354423689185,0.443046
"tax examiners, collectors and preparers, and revenue agents",White,14410,0.12589428836491923,0.119917
"production, planning, and expediting clerks",White,5480,0.11654408742222082,0.110036
data scientists,Black,10482,0.13650118274466416,0.129078
aerospace engineers,White,7279,0.10036733056925078,0.094518
civil engineers,Asian,6138,0.13547688140136638,0.128218
"barbers, hairdressers, hairstylists and cosmetologists",White,9802,0.21086248669059515,0.200367
logisticians and project management specialists,Black,6162,0.14132904871419957,0.134047
computer and information systems managers,Other,5449,0.14741055220659632,0.138741
"athletes, coaches, umpires, and related workers",White,25893,0.31109185396139183,0.301510
chief executives,Asian,146044,0.23307012285803416,0.222960
"math and computer science teachers, postsecondary",White,26721,0.3077069937266706,0.294600
therapists,Hispanic,6095,0.49220178714363455,0.481870
"engineering technologists and technicians, except drafters",Hispanic,11333,0.15280034377246712,0.144710
ship and boat captains and operators,White,5845,0.15068930691579693,0.142002
first-line supervisors of sales workers,Hispanic,6125,0.16952984445051847,0.160000
"human resources assistants, except payroll and timekeeping",White,6002,0.262539902719942,0.250750
secondary school teachers,White,24439,0.4246947078495242,0.414215
"physical sciences teachers, postsecondary",Asian,6354,0.1828245668324318,0.173591
"physical sciences teachers, postsecondary",White,24078,0.3055033218315649,0.292383
"miscellaneous life, physical, and social science technicians",White,6312,0.15229741723277077,0.144804
financial managers,Asian,23802,0.07463801349840103,0.070162
human resources workers,Black,17857,0.287479514541452,0.269978
secretaries and administrative assistants,Hispanic,33736,0.20497560126624703,0.195726
payroll and timekeeping clerks,White,8092,0.11368681400250313,0.106896
"maintenance and repair workers, general",White,8519,0.08946614618009707,0.083108
mechanical engineers,Asian,8750,0.09676084560109469,0.091200
health practitioner support technologists and technicians,Hispanic,5720,0.3640255059776963,0.355420
logisticians and project management specialists,Asian,6059,0.10760714613970843,0.101832
computer and information systems managers,Hispanic,20974,0.18086001688223763,0.170258
advertising and promotions managers,Asian,6064,0.14849094623425219,0.140172
clergy,White,20453,0.4430473365930704,0.428397
construction managers,White,23973,0.08944687760042871,0.082176
computer support specialists,Black,13340,0.12034734604976252,0.113418
marketing and sales managers,White,511336,0.15426479505774077,0.145177
miscellaneous computer occupations,White,361363,0.12932753024919777,0.121213
training and development specialists,White,15124,0.34324556899783226,0.327757
"transportation, storage, and distribution managers",Hispanic,12695,0.11521242207204145,0.106105
"software and web developers, programmers, and testers",White,282990,0.1217598531478865,0.114884
miscellaneous engineers,White,110821,0.10778248688818387,0.101677
"securities, commodities, and financial services sales agents",White,213773,0.14077436922167147,0.132299
"property, real estate, and community association managers",White,30280,0.16953835839449238,0.160403
financial analysts and advisors,White,150479,0.23807086781026945,0.224457
"securities, commodities, and financial services sales agents",Hispanic,27026,0.14633928038224228,0.137460
financial managers,Hispanic,26064,0.11262392163160218,0.105394
customer service representatives,White,83435,0.1722818333511697,0.163864
insurance sales agents,White,24802,0.28557247322507495,0.273567
"software and web developers, programmers, and testers",Black,25831,0.13952757894879478,0.132167
bartenders,White,11406,0.17093996111567053,0.163335
special education teachers,White,18782,0.4892604764632515,0.477532
"models, demonstrators, and product promoters",White,8367,0.1879962944319137,0.179515
mechanical engineers,White,37439,0.1007974035487245,0.095275
human resources managers,Hispanic,17537,0.2846906252728728,0.268632
industrial production managers,Hispanic,6110,0.1172016038097086,0.106219
general and operations managers,Asian,23094,0.1615409410411186,0.152247
accountants and auditors,Hispanic,17763,0.09181592051120584,0.086866
customer service representatives,Black,18102,0.17641710809736397,0.167827
natural sciences managers,Asian,6695,0.20250043269647772,0.193577
marketing and sales managers,Asian,44569,0.12633922885128873,0.118872
air traffic controllers and airfield operations specialists,White,7541,0.16754076337141802,0.158732
"industrial engineers, including health and safety",Hispanic,11236,0.13033462949898872,0.121930
economists,White,6217,0.2362161809997517,0.223741
human resources workers,Asian,19208,0.18293483938929062,0.169252
writers and editors,Black,5071,0.2650888378593254,0.252613
clinical laboratory technologists and technicians,White,6967,0.2608720677052093,0.252476
first-line supervisors of construction trades and extraction workers,White,6259,0.12713144234672574,0.117591
counselors,Black,11674,0.5503472574131694,0.539232
computer and information systems managers,Asian,67992,0.10608744698205724,0.097041
"software and web developers, programmers, and testers",Asian,217314,0.08500756910702387,0.079645
credit counselors and loan officers,Black,5663,0.23857160462138277,0.226382
computer and information analysts,Hispanic,6978,0.13052467733686132,0.118515
miscellaneous managers,Asian,11290,0.1568574932215448,0.148716
first-line supervisors of office and administrative support workers,White,31793,0.193247418819178,0.183657
architectural and engineering managers,Black,15571,0.18164449908789324,0.173271
legislators,White,6940,0.3417274775219344,0.329395
electricians,White,7424,0.07954863935921218,0.073949
first-line supervisors of production and operating workers,White,17152,0.11385201705929118,0.105702
computer hardware engineers,White,6590,0.10536045506819812,0.098786
elementary and middle school teachers,Black,6509,0.4632134720629288,0.454448
administrative services and facilities managers,Black,5336,0.21128603790522105,0.199775
"news analysts, reporters and journalists",White,15276,0.2228023366201445,0.210395
accountants and auditors,Asian,15686,0.06714625127547327,0.063942
writers and editors,White,59203,0.193266315575725,0.181258
receptionists and information clerks,White,8996,0.21465841425602186,0.206092
financial managers,White,181906,0.11430874164377902,0.107418
administrative services and facilities managers,White,44625,0.1821659313022793,0.170734
"industrial engineers, including health and safety",White,71138,0.12921187385345217,0.121004
physicians,White,26668,0.36736415818072793,0.357095
therapists,White,65187,0.4865540953647075,0.474926
computer and information analysts,Asian,11329,0.08495868110538553,0.077412
financial managers,Black,15897,0.12716362809840775,0.118827
secretaries and administrative assistants,Black,30079,0.23802804880768147,0.230260
designers,Asian,9447,0.1798088385943637,0.169260
preschool and kindergarten teachers,Black,6047,0.4166639973905856,0.408632
secretaries and administrative assistants,Asian,11997,0.18161597852997322,0.173210
marketing and sales managers,Black,31732,0.18592059714056658,0.175879
"bookkeeping, accounting, and auditing clerks",White,23763,0.12434014613406161,0.117241
instructional coordinators,White,14235,0.43673497579509074,0.421637
medical and health services managers,White,59867,0.42132748807379244,0.409825
public relations and fundraising managers,Hispanic,9055,0.2695414350029315,0.256322
real estate brokers and sales agents,Black,19596,0.27540827136748264,0.263727
logisticians and project management specialists,Hispanic,8163,0.12912687706822953,0.121279
database and network administrators and architects,Black,10306,0.10671966794670643,0.098874
credit counselors and loan officers,Hispanic,9248,0.24164691765103646,0.228157
social science research assistants,White,12430,0.27918353914401633,0.268061
"industrial engineers, including health and safety",Asian,23072,0.08487760036905614,0.078537
dentists,White,6311,0.4778845970459372,0.466804
computer support specialists,Hispanic,12770,0.12687111954070238,0.118872
registered nurses,Hispanic,21513,0.5011573126308813,0.491842
logisticians and project management specialists,White,43115,0.12403013309375434,0.117013
miscellaneous legal support workers,White,9565,0.1948338520311151,0.187245
insurance claims and policy processing clerks,White,5487,0.18928538317038898,0.181155
financial analysts and advisors,Black,15224,0.219708131386526,0.210260
lodging managers,White,7377,0.18138834188629255,0.172563
"office clerks, general",White,5312,0.1879661517173779,0.179405
"transportation, storage, and distribution managers",Black,8947,0.1395886438595403,0.129988
health practitioner support technologists and technicians,Black,6400,0.35620521772165714,0.348906
marketing and sales managers,Other,8743,0.14380727423807638,0.135880
detectives and criminal investigators,White,9052,0.2130018001441381,0.202165
"television, video, and film camera operators and editors",White,9906,0.0908287500927503,0.085100
market research analysts and marketing specialists,Asian,6491,0.1464973036344767,0.137729
database and network administrators and architects,Hispanic,10401,0.10524104395478218,0.097875
mechanical engineers,Hispanic,5017,0.10751468986735561,0.101256
actuaries,White,5678,0.09117978141770733,0.086826
physician assistants,White,15822,0.4021320806719448,0.393629
computer and information systems managers,White,185216,0.1773125574657511,0.167356
architectural and engineering managers,White,141095,0.15239938596740263,0.143230
"mining and geological engineers, including mining safety engineers",White,5407,0.1491461248709208,0.139264
designers,White,47374,0.13679050092070522,0.128868
home health and personal care aides,White,6343,0.37237696566194867,0.360713
"miscellaneous sales representatives, services",White,160750,0.14335769795929498,0.135664
miscellaneous healthcare support occupations,Hispanic,7704,0.3463192228776847,0.336838
psychologists,Black,5046,0.5814198754659554,0.568966
"actors, producers, and directors",Hispanic,9805,0.29199469582691384,0.281081
general and operations managers,Hispanic,56760,0.17778912400523852,0.165980
"sales representatives, wholesale and manufacturing",White,10390,0.16422749713510063,0.158710
lawyers and judicial law clerks,Hispanic,12994,0.23412480322473034,0.224873
advertising and promotions managers,White,82718,0.16617102901074726,0.156109
fast food and counter workers,White,6875,0.2443559123002829,0.236655
market research analysts and marketing specialists,White,58025,0.17280369978360066,0.163860
miscellaneous health technologists and technicians,Black,6014,0.33903832612821566,0.328899
public relations and fundraising managers,Black,7114,0.2996808680816964,0.288164
bill and account collectors,White,9050,0.11195222075600952,0.105414
police officers,White,10282,0.20421730153057283,0.194904
real estate brokers and sales agents,Asian,8283,0.21878012724251575,0.207534
buyers and purchasing agents,White,8852,0.09238869165179985,0.086873
human resources managers,Asian,9804,0.21766453465777785,0.201550
computer support specialists,Asian,8911,0.09420653118150006,0.088093
laborers and material movers,White,14986,0.1315210126550657,0.123248
billing and posting clerks,White,16340,0.10229993854921826,0.097185
miscellaneous healthcare support occupations,White,27325,0.32979351792070094,0.321061
tutors,White,8954,0.3968169634011659,0.384856
lawyers and judicial law clerks,Black,10244,0.26080223474957154,0.251171
compliance officers,White,17412,0.15802502260015286,0.149552
"software and web developers, programmers, and testers",Hispanic,43044,0.13070025070015417,0.123432
medical and health services managers,Hispanic,7982,0.43199532577260075,0.420571
emergency medical technicians and paramedics,White,8036,0.3420061711955523,0.333126
conservation scientists and foresters,White,5537,0.28618208361070324,0.275601
"engineering technologists and technicians, except drafters",Black,7263,0.16455994736092017,0.156409
psychologists,Hispanic,5043,0.5596961914097041,0.547293
medical scientists,White,6080,0.36678850217820247,0.357401
advertising and promotions managers,Black,6315,0.2113038316529704,0.199842
psychologists,White,39504,0.5473779754956681,0.532706
registered nurses,White,147517,0.44563320021393393,0.436228
computer and information analysts,White,43014,0.12165852491901963,0.112498
data scientists,White,81328,0.13022268319991898,0.123180
"hotel, motel, and resort desk clerks",White,8749,0.2141570346183764,0.204252
marketing and sales managers,Hispanic,59689,0.15874222020203843,0.149559
compensation and benefits managers,White,26151,0.22334618147446195,0.211923
aircraft pilots and flight engineers,White,13625,0.1447258858853356,0.134826
counselors,White,62985,0.524693824092053,0.512360
market research analysts and marketing specialists,Black,6899,0.21233294627390117,0.201334
miscellaneous postsecondary teachers,White,18255,0.3393330421018115,0.325171
architectural and engineering managers,Asian,35023,0.0982079489328098,0.091254
retail salespersons,White,13054,0.1822835754802071,0.173587
"miscellaneous sales representatives, services",Hispanic,21919,0.14950167857816113,0.141065
pharmacists,White,16004,0.4412008043565524,0.432142
dietitians and nutritionists,White,15637,0.5561215310289541,0.544542
social workers,Black,5407,0.5543466970186283,0.543370
artists and related workers,Hispanic,14439,0.12023668524367648,0.113374
miscellaneous managers,Black,17710,0.21888573637218972,0.207849
construction equipment operators,White,5575,0.1304654345951409,0.123408
elementary and middle school teachers,White,48317,0.43460836827403004,0.424819
first-line supervisors of transportation and material moving workers,White,19983,0.12402264408138995,0.115348
"transportation, storage, and distribution managers",Asian,10203,0.088058953102792,0.081741
lawyers and judicial law clerks,Asian,11742,0.1592500337462752,0.151337
financial analysts and advisors,Hispanic,19380,0.20195014906237307,0.192621
sales engineers,White,14346,0.08692553306007271,0.080441
miscellaneous motor vehicle operators,White,5891,0.14176348641935446,0.133933
construction and building inspectors,White,7193,0.15352309168112807,0.143612
"software and web developers, programmers, and testers",Other,11932,0.10284888511286763,0.097469
administrative services and facilities managers,Hispanic,7497,0.18997442940849193,0.177938
social workers,White,20866,0.5530862247933968,0.539490
electrical and electronics engineers,White,21805,0.08654757610287792,0.080670
travel agents,White,5462,0.19538830028217327,0.184914
chemical engineers,White,12159,0.09539063223983792,0.089481
industrial production managers,White,37536,0.11164757015917212,0.102382
cashiers,White,9031,0.18889643400817138,0.181486
flight attendants,White,5906,0.21092336548539098,0.199966
miscellaneous engineers,Black,7416,0.12843520739883124,0.122303
librarians and media collections specialists,White,5627,0.3022442677792511,0.292696
architectural and engineering managers,Hispanic,20903,0.15180577401694048,0.142659
general and operations managers,Other,7349,0.16987151971792255,0.160294
computer and information systems managers,Black,15139,0.22967707198085213,0.220028
miscellaneous financial specialists,White,5610,0.1607163276815246,0.151872
lawyers and judicial law clerks,White,141486,0.1902186084813626,0.181007
training and development managers,White,28971,0.36085977605682834,0.345691
"health teachers, postsecondary",White,16220,0.3951930444835618,0.382922
miscellaneous health practitioners and technical workers,White,8806,0.3836758220818942,0.373722
