OCCUPATION,SEX,N,AVG_PROB,POSITIVE_SHARE
education and childcare administrators,female,18683,0.4639914557290475,0.454049
chemical engineers,male,12558,0.08492289364416991,0.079232
accountants and auditors,female,69382,0.08782231105879781,0.083120
therapists,female,53197,0.49047762520235816,0.478768
computer support specialists,male,64362,0.10937317497547415,0.101970
medical and health services managers,female,48730,0.4460496621809507,0.434106
real estate brokers and sales agents,female,150312,0.2729822727612788,0.259700
clergy,male,18832,0.42665585593832045,0.412171
"claims adjusters, appraisers, examiners, and investigators",female,9406,0.15679869180133832,0.150011
market research analysts and marketing specialists,male,24972,0.14702466331547628,0.138475
miscellaneous healthcare support occupations,female,33130,0.34346521792523355,0.334199
writers and editors,male,25763,0.16102221376195935,0.149478
financial managers,male,108952,0.1051882900749988,0.098511
natural sciences managers,female,20128,0.35050333255960525,0.340372
miscellaneous postsecondary teachers,female,10182,0.4120439490575968,0.398252
administrative services and facilities managers,female,19561,0.2246780068246011,0.213435
miscellaneous office and administrative support workers,female,5294,0.23361915292765859,0.224027
first-line supervisors of transportation and material moving workers,male,16791,0.10746372448159906,0.099160
food service managers,male,11441,0.1347335895172855,0.124727
education and childcare administrators,male,14257,0.3658332175322491,0.355545
secondary school teachers,female,15955,0.459161740738313,0.448323
laborers and material movers,male,13411,0.1226983518287953,0.114980
miscellaneous healthcare support occupations,male,5705,0.31446785191013177,0.306748
"miscellaneous electrical and electronic equipment mechanics, installers, and repairers",male,5335,0.08564028097727132,0.078913
detectives and criminal investigators,male,7551,0.20413387573655714,0.193484
credit counselors and loan officers,female,28341,0.2513218052769566,0.237959
social workers,female,22307,0.5641268957867306,0.551083
logisticians and project management specialists,female,26051,0.14945133355929685,0.142183
first-line supervisors of sales workers,male,18953,0.15215697750210436,0.143618
physicians,male,19182,0.343126732419991,0.333698
payroll and timekeeping clerks,female,8919,0.1165609259542562,0.108981
miscellaneous business operations specialists,male,17563,0.14719225621473156,0.136993
retail salespersons,male,7507,0.15015747926327017,0.141601
construction and building inspectors,male,7071,0.14351178024814537,0.134493
marketing and sales managers,male,338114,0.1343490787740992,0.125635
"barbers, hairdressers, hairstylists and cosmetologists",female,10476,0.2194748276009876,0.208763
"health teachers, postsecondary",female,13395,0.43737077883147724,0.425009
