GROUP_NAME,N,AVG_PROB,MEDIAN_PROB,POSITIVE_SHARE
Vermont,48275,0.28883791952555277,0.0003000000142492354,0.277825
Hawaii,66231,0.27562984186864864,0.0003000000142492354,0.263895
Montana,57815,0.26627153440899415,0.0003000000142492354,0.254934
Oregon,376780,0.26609062943885775,0.0003000000142492354,0.254642
Alaska,35472,0.26496286586162565,0.0003000000142492354,0.253045
District of Columbia,376115,0.2614438604714971,0.0003000000142492354,0.249041
Idaho,125710,0.25955310971328127,0.00019999999494757503,0.248206
Maine,91510,0.2567375209633205,0.00019999999494757503,0.245765
New Mexico,91229,0.25327317568938124,0.00019999999494757503,0.242160
Wyoming,27723,0.24895479507996043,0.00019999999494757503,0.238250
Utah,324547,0.24697047918098725,0.00019999999494757503,0.236120
South Dakota,39821,0.2442998085293355,0.00019999999494757503,0.234223
Nebraska,131074,0.24215792621029794,0.00019999999494757503,0.231892
Colorado,1163302,0.24058870264530047,0.0003000000142492354,0.229217
Indiana,461023,0.23759202041173713,0.00019999999494757503,0.227735
Washington,855174,0.2375887254933559,0.00019999999494757503,0.226567
Wisconsin,458181,0.23569779636895383,0.00019999999494757503,0.225319
Minnesota,557473,0.23493542251004682,0.00019999999494757503,0.224402
Iowa,182292,0.23422455346665336,9.999999747378752e-05,0.224289
North Dakota,36171,0.2323244858265748,9.999999747378752e-05,0.222554
Rhode Island,90113,0.231397084180143,0.00019999999494757503,0.221522
Arizona,608578,0.23104620914256876,0.00019999999494757503,0.220249
Maryland,513349,0.22903323923252816,0.00019999999494757503,0.218660
North Carolina,1012495,0.22607189324418114,0.00019999999494757503,0.216084
Missouri,507616,0.2247736539345618,0.00019999999494757503,0.214580
Kentucky,226048,0.22388121362310962,9.999999747378752e-05,0.214335
Kansas,184280,0.2219671467412895,0.00019999999494757503,0.211960
Tennessee,530569,0.2221313335721849,0.00019999999494757503,0.211948
West Virginia,55471,0.22112700455434722,9.999999747378752e-05,0.211822
Massachusetts,932858,0.22055799985210095,0.00019999999494757503,0.210649
Oklahoma,209245,0.22046023843011328,9.999999747378752e-05,0.210461
California,3844799,0.21988843168972605,0.00019999999494757503,0.209853
Arkansas,150402,0.21837540539807196,9.999999747378752e-05,0.208435
Pennsylvania,1096111,0.2177221457808222,9.999999747378752e-05,0.208052
Nevada,223218,0.21714725240142654,0.00019999999494757503,0.206292
Michigan,765276,0.21569927387976956,9.999999747378752e-05,0.206166
South Carolina,363248,0.21574859852316905,0.00019999999494757503,0.205738
Ohio,922876,0.2153087484409619,9.999999747378752e-05,0.205721
Connecticut,302407,0.21434237747670487,0.00019999999494757503,0.204641
Delaware,73873,0.2146277213557804,0.00019999999494757503,0.204418
New Hampshire,114906,0.21367822605953485,0.00019999999494757503,0.204010
Virginia,752888,0.2143744285211931,0.00019999999494757503,0.203975
Illinois,1227851,0.21230101616363412,0.00019999999494757503,0.202549
Mississippi,98838,0.21169137830161136,9.999999747378752e-05,0.202544
Florida,1927714,0.2117316710828188,0.00019999999494757503,0.200945
Louisiana,224560,0.20890777159035098,9.999999747378752e-05,0.199221
Georgia,1041931,0.20847909497019507,0.00019999999494757503,0.198368
New York,2284739,0.20614812293330095,0.00019999999494757503,0.196394
Alabama,263881,0.20425497315533114,9.999999747378752e-05,0.194588
Texas,2600591,0.19901903668975404,0.00019999999494757503,0.189067
New Jersey,710381,0.18594354004292138,9.999999747378752e-05,0.176691
